dataset_id,paper_name,role,path,size_bytes,sha256
intermittent,Intermittent,source_input,sample_data/head_office/marked_target_df.parquet,1106526,19eeae31b3914c34895a5781b214fd5bd267c1a8e193ba16792915412f656762
intermittent,Intermittent,with_split,sample_data/head_office/marked_target_with_split.parquet,1713811,dab4d8a7217f9c14d1c2336f649aef9ddaf2ba440d074e446d8fd5cc41506a30
intermittent,Intermittent,train,sample_data/head_office/marked_target_train.parquet,1276644,3d66e0dc2ef671f652427b5f4756604b29efd10301ec42f9f5b9a7631eb8c242
intermittent,Intermittent,validation,sample_data/head_office/marked_target_validation.parquet,461006,10c4811d02db5e4bff50af230e068754901bb0cf106f7ca29a5f8b694294ac72
intermittent,Intermittent,test,sample_data/head_office/marked_target_test.parquet,415442,191d675819db63647f34446bb9fae79f0822d2c09ef05387aeae3877b6fe8263
intermittent,Intermittent,split_manifest,sample_data/head_office/marked_target_split_manifest.json,5310,49752a1bd4ccaf1c2b8e37321e3657cb098d303c51a093eecf1c91ea3ef9bdfe
yellow_trip_hourly,Taxi,source_input,sample_data/new_york_taxi/yellow_trip_hourly.parquet,171098,70c87fea7ae4cd0e2d05cda12684f980992bf4539006442085f158134378c1df
yellow_trip_hourly,Taxi,with_split,sample_data/new_york_taxi/yellow_trip_hourly_with_split.parquet,544394,b47e98e9fdb75d4274a18e3f8a5d8f463418a1d56a6db4db7d9b834c9d89ca46
yellow_trip_hourly,Taxi,train,sample_data/new_york_taxi/yellow_trip_hourly_train.parquet,396156,0055229740f3f5b612ff8a2a256b1726008918a2ccb453c6bd66909c48ab2cb3
yellow_trip_hourly,Taxi,validation,sample_data/new_york_taxi/yellow_trip_hourly_validation.parquet,100744,5478cacb41b1a16fbccafdffa479f6dc235d4b6b35e23c9f535cb30092996a97
yellow_trip_hourly,Taxi,test,sample_data/new_york_taxi/yellow_trip_hourly_test.parquet,101714,36995209462dc976551e103f9c966f69ba0bbdccc572157b9d5983b3204bfe60
yellow_trip_hourly,Taxi,split_manifest,sample_data/new_york_taxi/yellow_trip_hourly_split_manifest.json,3331,4a005d4a77a89f7ca793d8de56afb9267a3ca4a5e60c53e09465c0494d60ed85
insta_market_basket,Instacart,source_input,sample_data/insta_market_basket/instacart_marked_target_df.parquet,19315664,5c54c9bf351f49ee0dbc99a970e35ae37315b6d2085bdfc827e3c0e6ed01c806
insta_market_basket,Instacart,with_split,sample_data/insta_market_basket/instacart_marked_target_with_split.parquet,31701203,06296e48f5ca6c7e0c849f4b4a3c6d54a968ef892754f59369caf1d378424ef2
insta_market_basket,Instacart,train,sample_data/insta_market_basket/instacart_marked_target_train.parquet,21283828,eadbd799ce7fb999693983634b0b8928008d07b89aa864e04f6d11d9e7cd07c4
insta_market_basket,Instacart,validation,sample_data/insta_market_basket/instacart_marked_target_validation.parquet,5399660,751978b9e335cc8cbfe7784a987b2f65960d0feffca8de283bbbf53fe034f3d6
insta_market_basket,Instacart,test,sample_data/insta_market_basket/instacart_marked_target_test.parquet,6262008,ce8a2c7997d6415cb36b5fd4d3059dde539b2916a8bd97a2f929a788cfe6711c
insta_market_basket,Instacart,split_manifest,sample_data/insta_market_basket/instacart_marked_target_split_manifest.json,4603,6c6cdd41f847878fbb405b73dfa038fbb7a88ad53df6843b0cc9e64531a8b71d
