status,backbone,backbone_label,variant,seed,epochs,completed_epochs,stopped_early,best_epoch,best_val_joint_objective,best_val_time_nll,best_val_log_qty_mse,best_val_qty_mae,best_val_qty_rmse,parameter_count,source_revision,source_revision_history,evaluation_scope,held_out_test_evaluated,checkpoint_path,checkpoint_state_sha256,elapsed_seconds,encoder_config,interface_meta,best_val_quantity_train_loss,best_val_quantity_distribution_nll,best_val_quantity_location_huber,best_val_tail_aux_loss,best_val_tail_count,best_val_quantity_scale_mean,lambda_tail,tail_threshold,tail_normalization_scale,tail_clip_cap,tail_huber_delta,optimizer_group_contract
success,rmtpp,Count-aware RMTPP,count_only_log_regression,42,300,247,True,207,-3.589935509724862,-3.599494804186251,0.009559294860145518,2.7090139799490514,9.90575594053826,25283,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/rmtpp/count_only_log_regression/seed_42/best_val_joint_objective_model.pt,f23c3ddc27ccf78b4be2cfcd6d8eae484f698adcb18504598cd92b74d39307be,4789.279263973236,"{'candidate_name': 'count_gru_h64', 'rnn_type': 'gru', 'hidden_dim': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,rmtpp,Count-aware RMTPP,count_only_log_regression,52,300,289,True,249,-3.5882924411666695,-3.5994940088322607,0.011201567866089663,3.0293013776102313,11.076282251638782,25283,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/rmtpp/count_only_log_regression/seed_52/best_val_joint_objective_model.pt,3f6de146aef7d43c91fa9af948bee49189c813182853396ecd2cbd9ca95ab87e,5631.946438550949,"{'candidate_name': 'count_gru_h64', 'rnn_type': 'gru', 'hidden_dim': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,rmtpp,Count-aware RMTPP,count_only_log_regression,62,300,242,True,202,-3.588704768792222,-3.599494315597407,0.010789547187536533,2.969254025899294,10.75418918771228,25283,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/rmtpp/count_only_log_regression/seed_62/best_val_joint_objective_model.pt,07f784cf7376eae85c6d8f434a93b8af044c564381b1fc3f7e9501616fa139fb,4709.41158747673,"{'candidate_name': 'count_gru_h64', 'rnn_type': 'gru', 'hidden_dim': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,thp,Count-aware THP,count_only_log_regression,42,300,238,True,198,-3.59538512322485,-3.5994863460091153,0.004101223171675045,0.6311144150946821,1.8823603407935159,100291,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/thp/count_only_log_regression/seed_42/best_val_joint_objective_model.pt,f453dbe5678fd67329b88f9b8980fa5f6dca73c5db49c9dc49ea3eeb9a62697c,11525.868831157684,"{'candidate_name': 'count_thp_small', 'd_model': 64, 'd_inner': 256, 'n_layers': 2, 'n_heads': 4, 'dropout': 0.1, 'normalize_before': False, 'add_temporal_encoding_each_layer': False, 'use_rnn': False, 'd_rnn': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,thp,Count-aware THP,count_only_log_regression,52,300,268,True,228,-3.5953892980796502,-3.5994800469535053,0.004090749064837367,0.6080501328816369,1.7807660664913008,100291,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/thp/count_only_log_regression/seed_52/best_val_joint_objective_model.pt,5aebb762253bd6a0402b758903437f85be71215956e650b2fc457f4d49a5ba34,13015.051350831985,"{'candidate_name': 'count_thp_small', 'd_model': 64, 'd_inner': 256, 'n_layers': 2, 'n_heads': 4, 'dropout': 0.1, 'normalize_before': False, 'add_temporal_encoding_each_layer': False, 'use_rnn': False, 'd_rnn': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,thp,Count-aware THP,count_only_log_regression,62,300,283,True,243,-3.5951279962795764,-3.599488045173579,0.00436004943481214,0.7599744051012717,2.7890853595751812,100291,044add1f3de768d804d9f0269fd0013bd9658a35,['044add1f3de768d804d9f0269fd0013bd9658a35'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_tpp_backbone_control_e300_20260812/runs/thp/count_only_log_regression/seed_62/best_val_joint_objective_model.pt,765e4d06c14cc5ff508ae4772115a95d5c513af1e7960d843a83974f7e088428,13764.774578094482,"{'candidate_name': 'count_thp_small', 'd_model': 64, 'd_inner': 256, 'n_layers': 2, 'n_heads': 4, 'dropout': 0.1, 'normalize_before': False, 'add_temporal_encoding_each_layer': False, 'use_rnn': False, 'd_rnn': 64}","{'mode': 'mark_free_count_aware_log_regression', 'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_loss': 'mse_on_log1p_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'fitted_on': 'train'}",,,,,,,,,,,,
success,nhp,Adapted NHP,count_only_log_regression,42,300,234,True,194,-3.5556119562652935,-3.599491572207369,0.043879616257093516,5.39854238536741,16.1359643639844,30147,b6831d30a60b83677cc438b3a560217bf343c75c,"['8ec1f42fe01f9e436296914cb4d8d2a950528732', 'b6831d30a60b83677cc438b3a560217bf343c75c']",validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_external_t0_nhp_sahp_e300_20260820/runs/nhp/count_only_log_regression/seed_42/best_val_joint_objective_model.pt,9caed45c432f4ad128a20ca49faee14549b5026b70f62b1aefefe5e4c261dd14,46262.18259048462,"{'candidate_name': 'count_nhp_ctlstm_h64', 'encoder_type': 'continuous_time_lstm', 'hidden_dim': 64, 'shared_time_head': True, 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'jacobian_correction': False, 'wd_clamp': 10.0}}","{'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'point_prediction': 'distribution_median_expm1_location', 'point_prediction_shared_by_mae_and_rmse': True, 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'train_target_std': 1.2853917394914367, 'fitted_on': 'train', 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'time_initial_intercept': 0.0, 'time_intercept_transform': 'legacy_upper_clamp', 'time_wd_safety_limit': 40.0, 'time_head_lr_multiplier': 1.0, 'time_initial_location': None, 'time_initial_scale': None, 'time_sigma_floor': 0.001, 'statistics_source_split': 'train', 'train_time_statistics': {'statistics_source_split': 'train', 'target_count': 393824, 'target_dt_min': 1.0, 'target_dt_mean': 2.996902169497034, 'target_dt_p50': 3.0, 'target_dt_p99': 7.0, 'target_dt_max': 36.0, 'time_scale': 3.0, 'wd_safety_limit': 40.0, 'time_w_max': 3.3333333333333335, 'time_initial_intercept': 0.001033143676837481, 'target_log_scaled_mean': -0.21389036220110552, 'target_log_scaled_std': 0.6816420108412236}}, 'mode': 'mark_free_count_aware_log_regression', 'quantity_loss': 'mse_on_log1p_quantity'}",0.043879616257093516,0.0,0.0,0.0,0,0.0,0.0,46.0,46.0,187.0,1.0,"[{'index': 0, 'group_name': 'all_parameters', 'lr': 0.001, 'parameter_count': 30147}]"
success,nhp,Adapted NHP,count_only_log_regression,52,300,225,True,185,-3.5541116591793585,-3.5994920758692075,0.04538041670594534,5.355317282737486,15.47621861329752,30147,b6831d30a60b83677cc438b3a560217bf343c75c,['b6831d30a60b83677cc438b3a560217bf343c75c'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_external_t0_nhp_sahp_e300_20260820/runs/nhp/count_only_log_regression/seed_52/best_val_joint_objective_model.pt,10211e9d0f8e7a03194eab6592432c993686fd970087c9d42cbe1004f9db703f,130275.05906748772,"{'candidate_name': 'count_nhp_ctlstm_h64', 'encoder_type': 'continuous_time_lstm', 'hidden_dim': 64, 'shared_time_head': True, 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'jacobian_correction': False, 'wd_clamp': 10.0}}","{'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'point_prediction': 'distribution_median_expm1_location', 'point_prediction_shared_by_mae_and_rmse': True, 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.8211239020755066, 'train_target_std': 1.2853917394914367, 'fitted_on': 'train', 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'time_initial_intercept': 0.0, 'time_intercept_transform': 'legacy_upper_clamp', 'time_wd_safety_limit': 40.0, 'time_head_lr_multiplier': 1.0, 'time_initial_location': None, 'time_initial_scale': None, 'time_sigma_floor': 0.001, 'statistics_source_split': 'train', 'train_time_statistics': {'statistics_source_split': 'train', 'target_count': 393824, 'target_dt_min': 1.0, 'target_dt_mean': 2.996902169497034, 'target_dt_p50': 3.0, 'target_dt_p99': 7.0, 'target_dt_max': 36.0, 'time_scale': 3.0, 'wd_safety_limit': 40.0, 'time_w_max': 3.3333333333333335, 'time_initial_intercept': 0.001033143676837481, 'target_log_scaled_mean': -0.21389036220110552, 'target_log_scaled_std': 0.6816420108412236}}, 'mode': 'mark_free_count_aware_log_regression', 'quantity_loss': 'mse_on_log1p_quantity'}",0.04538041670594534,0.0,0.0,0.0,0,0.0,0.0,46.0,46.0,187.0,1.0,"[{'index': 0, 'group_name': 'all_parameters', 'lr': 0.001, 'parameter_count': 30147}]"
success,nhp,Adapted NHP,count_only_log_regression,62,300,278,True,238,-3.5580932139327976,-3.599493461341303,0.04140024755793449,5.094211762100104,14.660917997334945,30147,b6831d30a60b83677cc438b3a560217bf343c75c,['b6831d30a60b83677cc438b3a560217bf343c75c'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_external_t0_nhp_seed62_e300_20260821_5090/runs/nhp/count_only_log_regression/seed_62/best_val_joint_objective_model.pt,b64d8b1e8578627e92dc3238f24d1979454b87d5c5d0629f1ac3a2507ff6df9f,156627.59705281258,"{'candidate_name': 'count_nhp_ctlstm_h64', 'encoder_type': 'continuous_time_lstm', 'hidden_dim': 64, 'shared_time_head': True, 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'jacobian_correction': False, 'wd_clamp': 10.0}}","{'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'point_prediction': 'distribution_median_expm1_location', 'point_prediction_shared_by_mae_and_rmse': True, 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.821123902075507, 'train_target_std': 1.2853917394914367, 'fitted_on': 'train', 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'time_initial_intercept': 0.0, 'time_intercept_transform': 'legacy_upper_clamp', 'time_wd_safety_limit': 40.0, 'time_head_lr_multiplier': 1.0, 'time_initial_location': None, 'time_initial_scale': None, 'time_sigma_floor': 0.001, 'statistics_source_split': 'train', 'train_time_statistics': {'statistics_source_split': 'train', 'target_count': 393824, 'target_dt_min': 1.0, 'target_dt_mean': 2.996902169497034, 'target_dt_p50': 3.0, 'target_dt_p99': 7.0, 'target_dt_max': 36.0, 'time_scale': 3.0, 'wd_safety_limit': 40.0, 'time_w_max': 3.3333333333333335, 'time_initial_intercept': 0.001033143676837481, 'target_log_scaled_mean': -0.2138903622011054, 'target_log_scaled_std': 0.6816420108412236}}, 'mode': 'mark_free_count_aware_log_regression', 'quantity_loss': 'mse_on_log1p_quantity'}",0.04140024755793449,0.0,0.0,0.0,0,0.0,0.0,46.0,46.0,187.0,1.0,"[{'index': 0, 'group_name': 'all_parameters', 'lr': 0.001, 'parameter_count': 30147}]"
success,sahp,Adapted SAHP,count_only_log_regression,42,300,271,True,231,-3.5939539178757745,-3.5994928135506874,0.005538896226601541,1.0903057810991783,3.6069185828376367,112771,b6831d30a60b83677cc438b3a560217bf343c75c,['b6831d30a60b83677cc438b3a560217bf343c75c'],validation_only,False,/home/leekwanhyeong/workspace/paper_research/search_artifacts/count_aware_external_t0_sahp_all_e300_20260821_5090/runs/sahp/count_only_log_regression/seed_42/best_val_joint_objective_model.pt,80553022e8a72c6cdd669bedfad2eaa2cd041510e593c576f8673536efc169d2,17676.95755791664,"{'candidate_name': 'count_sahp_small', 'encoder_type': 'causal_self_attention_with_continuous_decay', 'hidden_dim': 64, 'n_layers': 2, 'n_heads': 4, 'd_ff': 256, 'shared_time_head': True, 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'jacobian_correction': False, 'wd_clamp': 10.0}}","{'history_features': ['log1p_delta_t', 'log1p_raw_quantity'], 'target': 'log1p_raw_quantity', 'quantity_output_activation': 'softplus', 'quantity_inverse_transform': 'expm1', 'point_prediction': 'distribution_median_expm1_location', 'point_prediction_shared_by_mae_and_rmse': True, 'quantity_mark_used': False, 'quantity_residual_used': False, 'product_type_used': False, 'target_quantity_masked_from_history': True, 'train_target_mean': 1.821123902075507, 'train_target_std': 1.2853917394914367, 'fitted_on': 'train', 'time_head': {'mode': 'legacy_clamped_rmtpp', 'time_scale': 3.0, 'time_w_max': 3.3333333333333335, 'time_intercept_limit': 30.0, 'time_initial_intercept': 0.0, 'time_intercept_transform': 'legacy_upper_clamp', 'time_wd_safety_limit': 40.0, 'time_head_lr_multiplier': 1.0, 'time_initial_location': None, 'time_initial_scale': None, 'time_sigma_floor': 0.001, 'statistics_source_split': 'train', 'train_time_statistics': {'statistics_source_split': 'train', 'target_count': 393824, 'target_dt_min': 1.0, 'target_dt_mean': 2.996902169497034, 'target_dt_p50': 3.0, 'target_dt_p99': 7.0, 'target_dt_max': 36.0, 'time_scale': 3.0, 'wd_safety_limit': 40.0, 'time_w_max': 3.3333333333333335, 'time_initial_intercept': 0.001033143676837481, 'target_log_scaled_mean': -0.2138903622011054, 'target_log_scaled_std': 0.6816420108412236}}, 'mode': 'mark_free_count_aware_log_regression', 'quantity_loss': 'mse_on_log1p_quantity'}",0.005538896226601541,0.0,0.0,0.0,0,0.0,0.0,46.0,46.0,187.0,1.0,"[{'index': 0, 'group_name': 'all_parameters', 'lr': 0.001, 'parameter_count': 112771}]"
