model,model_label,stratum_order,stratum,stratum_label,count,share,n_seeds,joint_objective_mean,joint_objective_std,time_nll_mean,time_nll_std,log_qty_mse_mean,log_qty_mse_std,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
rmtpp,Adapted RMTPP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.5962185214347,0.00022809299876028815,-3.59949471179237,1.3569753671559513e-07,0.003276191360273092,0.00022820689933726598,0.04791999094654302,0.0017765365827711213,0.14183422562347844,0.005199232582913689,0.011117952623365051,0.0072859083193121755
thp,Adapted THP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.594819737768203,0.0001494016561976536,-3.599484640698515,4.101408364436377e-06,0.004664903490327598,0.00014904123953637783,0.06764364881490022,0.0057724333700368245,0.16974269053260796,0.0020305769469589085,-0.000324232779994938,0.009513969294349757
nhp,Adapted NHP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.596176281450951,6.08805270663572e-05,-3.599493487658691,4.4471663019702556e-07,0.0033172067230722883,6.056229276591729e-05,0.049694672105144846,0.0026225512649785615,0.14441413300329822,0.001793675576689019,-0.006213274761528402,0.004330377351544638
sahp,Adapted SAHP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.5947707734021996,0.0001505741920110738,-3.5994938739886218,1.5657713965027434e-06,0.004723101368536779,0.00015109772268426486,0.06388395619716385,0.005066742481499947,0.17380056093401297,0.0029951227106416963,0.018124900452319938,0.010154329010848529
rmtpp,Adapted RMTPP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.590010572221623,0.0006316137225173924,-3.599494136975616,6.737900654785317e-07,0.009483564355343838,0.0006310100596748163,1.8885609129561542,0.08736606500772288,2.29072392499387,0.0845976975388669,-1.7115350123013968,0.10577606480854782
thp,Adapted THP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.596005002817437,0.00015135102751281083,-3.5994848336750773,4.325777769618188e-06,0.003479831146012841,0.00015520717051897807,0.7711390814043447,0.018003648124003055,1.2984743714581684,0.022321724030540942,-0.0014730439780470117,0.10281836046774025
nhp,Adapted NHP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.5325969575133542,0.003776900145161,-3.599490893376516,2.118634843196619e-06,0.06689393556200407,0.0037767202149097795,4.894195498194663,0.13336338350822058,5.505585194028269,0.16709403937708686,-4.864730251702315,0.13728935581608046
sahp,Adapted SAHP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.594659308562252,0.00017251194695418255,-3.599494267787852,4.6389391317161545e-07,0.004834959260319485,0.00017229411230009696,0.933756020884378,0.009677718880336318,1.3981508374894858,0.026769892846842447,-0.07213290228552925,0.2390471152873998
rmtpp,Adapted RMTPP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.5743314278788407,0.0050980245873413635,-3.5994938384074295,1.114392886384353e-06,0.025162410041956886,0.0050971688469641195,5.1896616051131454,0.579365757275368,5.442666327648085,0.5673771972762068,-5.1891888789463065,0.5789603989069303
thp,Adapted THP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.595370625258161,0.00020712243977872444,-3.599485665743837,4.906238781484892e-06,0.004115040136477201,0.00021029155613861276,1.270032634856481,0.08349532861533185,2.1080807006962545,0.04767162563551806,-0.7963411157862559,0.36035271720271267
nhp,Adapted NHP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.4939594755408336,0.004320304619911215,-3.599491787876013,2.2955528082931704e-06,0.10553231220654048,0.004318747254521767,10.276721533286802,0.18306463426711933,10.434643576110926,0.1729571286571919,-10.276721533286802,0.18306463426711933
sahp,Adapted SAHP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.590857277352913,0.00177059073694434,-3.5994942602026048,6.429217423899019e-07,0.008636982469551177,0.0017702827108815537,2.726919686372597,0.3017806069219746,3.4048994054232096,0.3754559052036749,-1.9601653000176367,0.28811487350797427
rmtpp,Adapted RMTPP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.5486407972700853,0.005542363353464375,-3.5994933137926353,1.0026951389435164e-06,0.050852516390691535,0.005541839154758412,19.63616138239789,1.1169632339928421,22.873678723950597,1.2990941850063267,-19.634360128282275,1.1197685688593073
thp,Adapted THP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.594873102447652,0.0007063167506199541,-3.5994853433533387,8.755230828680089e-06,0.00461224093277576,0.0007129477984269379,2.860822302491071,0.29839462645131626,4.240379499519238,0.4234398283951727,0.9569659180344755,0.9849092023750107
nhp,Adapted NHP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.4271822669374203,0.01876492909496225,-3.599492242671203,2.5022814026965468e-06,0.1723099757148189,0.01876391727473116,32.97189847336525,1.5656411712297007,36.89856007151718,1.8330717738846791,-32.97189847336525,1.5656411712297007
sahp,Adapted SAHP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.5874424096012723,0.00098196219240997,-3.599493359212367,1.7583501181263986e-06,0.012050949010646026,0.0009804196060968144,6.928748176451472,0.44546260009772065,11.350977527148117,0.6392285707735562,1.2513257017803145,1.2941727287784688
rmtpp,Adapted RMTPP,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.488212841350434,0.01557732076477876,-3.599493860397428,7.098232963460161e-07,0.11128101798371373,0.015577140224617328,77.6442255437496,4.629853852287965,81.10767561612751,4.725309706820909,-77.6442255437496,4.629853852287965
thp,Adapted THP,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.5968738800247197,0.0021346188492856726,-3.599484149176163,1.3782701869525521e-05,0.00261026988320808,0.002143141090108728,11.265410605766883,6.192717802120455,14.73981099109144,5.672728518888468,7.948846160059535,7.673968434273971
