dataset,candidate,role,scope,count,status,qty_mae,qty_rmse,time_nll,log_qty_mse,joint_objective
raf_spare_parts,calibration,baseline,overall,6690,evaluated,9.08649151632604,36.12338843297692,3.2851159643699237,0.5575681267867904,3.842684091156714
raf_spare_parts,calibration,candidate,overall,6690,evaluated,9.071744101696128,35.862506706672015,3.2851159643699237,0.5561905700597677,3.8413065344296915
raf_spare_parts,calibration,baseline,le_p50,3626,evaluated,1.4766015677378446,4.334353208137852,3.3055100910780646,0.3088087343140504,3.614318825392115
raf_spare_parts,calibration,candidate,le_p50,3626,evaluated,1.5864626544980271,4.576815153518028,3.3055100910780646,0.33344676870870527,3.63895685978677
raf_spare_parts,calibration,baseline,p50_p90,2555,evaluated,6.003668948978827,9.675455697979467,3.2677818620741483,0.5480028191044157,3.815784681178564
raf_spare_parts,calibration,candidate,p50_p90,2555,evaluated,6.060611906116956,9.960589505826068,3.2677818620741483,0.5316430422395445,3.799424904313693
raf_spare_parts,calibration,baseline,p90_p95,235,evaluated,27.319632974584053,29.99049020628221,3.195476684671767,1.541460309557146,4.736936994228913
raf_spare_parts,calibration,candidate,p90_p95,235,evaluated,26.661364359044015,29.562841021538077,3.195476684671767,1.4565827365328081,4.652059421204575
raf_spare_parts,calibration,baseline,p95_p99,224,evaluated,80.35465357931596,90.60112540816164,3.2903573672686304,2.61446653646174,5.904823903730371
raf_spare_parts,calibration,candidate,p95_p99,224,evaluated,78.80796161719731,89.35294083390765,3.2903573672686304,2.493189314702899,5.783546681971529
raf_spare_parts,calibration,baseline,gt_p99,50,evaluated,313.51081294059753,356.99821185852517,3.089729652404785,5.247188349962235,8.33691800236702
raf_spare_parts,calibration,candidate,gt_p99,50,evaluated,310.6837401890755,354.4265396098132,3.089729652404785,5.054352163672447,8.144081816077232
raf_spare_parts,calibration,baseline,body_le_p95,6416,evaluated,4.225942206269414,8.991121199800435,3.2864556216874026,0.44920991997164683,3.735665541659049
raf_spare_parts,calibration,candidate,body_le_p95,6416,evaluated,4.286595640448561,9.130067188418238,3.2864556216874026,0.4535104269213033,3.739966048608706
raf_spare_parts,calibration,baseline,tail_gt_p95,274,evaluated,122.90139799004923,173.11133587619983,3.253746470395666,3.0948902250567207,6.348636695452386
raf_spare_parts,calibration,candidate,tail_gt_p95,274,evaluated,121.12105989673712,171.61016081672867,3.253746470395666,2.960554798091503,6.214301268487169
raf_spare_parts,calibration,baseline,history_le_64,6690,evaluated,9.08649151632604,36.12338843297692,3.2851159643699237,0.5575681267867904,3.842684091156714
raf_spare_parts,calibration,candidate,history_le_64,6690,evaluated,9.071744101696128,35.862506706672015,3.2851159643699237,0.5561905700597677,3.8413065344296915
raf_spare_parts,calibration,baseline,history_65_128,0,empty,,,,,
raf_spare_parts,calibration,candidate,history_65_128,0,empty,,,,,
raf_spare_parts,calibration,baseline,history_gt_128,0,empty,,,,,
raf_spare_parts,calibration,candidate,history_gt_128,0,empty,,,,,
raf_spare_parts,shrinkage,baseline,overall,6690,evaluated,9.08649151632604,36.12338843297692,3.2851159643699237,0.5575681267867904,3.842684091156714
raf_spare_parts,shrinkage,candidate,overall,6690,evaluated,9.08649151632604,36.12338843297692,3.2851159643699237,0.5575681267867904,3.842684091156714
raf_spare_parts,shrinkage,baseline,le_p50,3626,evaluated,1.4766015677378446,4.334353208137852,3.3055100910780646,0.3088087343140504,3.614318825392115
raf_spare_parts,shrinkage,candidate,le_p50,3626,evaluated,1.4766015677378446,4.334353208137852,3.3055100910780646,0.3088087343140504,3.614318825392115
raf_spare_parts,shrinkage,baseline,p50_p90,2555,evaluated,6.003668948978827,9.675455697979467,3.2677818620741483,0.5480028191044157,3.815784681178564
raf_spare_parts,shrinkage,candidate,p50_p90,2555,evaluated,6.003668948978827,9.675455697979467,3.2677818620741483,0.5480028191044157,3.815784681178564
raf_spare_parts,shrinkage,baseline,p90_p95,235,evaluated,27.319632974584053,29.99049020628221,3.195476684671767,1.541460309557146,4.736936994228913
raf_spare_parts,shrinkage,candidate,p90_p95,235,evaluated,27.319632974584053,29.99049020628221,3.195476684671767,1.541460309557146,4.736936994228913
