model,model_label,comparison_role,quantity_objective,region,count,n_seeds,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std
rmtpp,Adapted RMTPP,T0 backbone control,Direct log-MSE,body_le_p95,81739,3,1.1621260014365804,0.07582749413719823,2.1202498304946067,0.1584032186405265
rmtpp,Adapted RMTPP,T0 backbone control,Direct log-MSE,tail_gt_p95,4546,3,34.1955985157244,1.8800038776591987,45.202210140334564,2.5546107652394423
rmtpp,Adapted RMTPP,T0 backbone control,Direct log-MSE,extreme_tail_gt_p99,1141,3,77.6442255437496,4.629853852287965,81.10767561612751,4.725309706820909
thp,Adapted THP,T0 backbone control,Direct log-MSE,body_le_p95,81739,3,0.427013234167344,0.009889427733919497,1.0067421126859968,0.008327751944664636
thp,Adapted THP,T0 backbone control,Direct log-MSE,tail_gt_p95,4546,3,4.970288922384978,1.7269816749130038,8.28855844545883,2.675517045326606
thp,Adapted THP,T0 backbone control,Direct log-MSE,extreme_tail_gt_p99,1141,3,11.265410605766883,6.192717802120455,14.73981099109144,5.672728518888468
nhp,Adapted NHP,T0 backbone control,Direct log-MSE,body_le_p95,81739,3,2.6941218035107157,0.061494839017956424,4.524479096315545,0.10640385300505867
nhp,Adapted NHP,T0 backbone control,Direct log-MSE,tail_gt_p95,4546,3,51.826248501521576,2.576251171256129,64.39824189957606,3.290106055093215
nhp,Adapted NHP,T0 backbone control,Direct log-MSE,extreme_tail_gt_p99,1141,3,108.09185923410026,5.600172657569674,111.62459334943875,5.757008214440918
sahp,Adapted SAHP,T0 backbone control,Direct log-MSE,body_le_p95,81739,3,0.6107638096716729,0.02453938896426859,1.3182506720399063,0.08697703508940989
sahp,Adapted SAHP,T0 backbone control,Direct log-MSE,tail_gt_p95,4546,3,9.54475219075955,0.45443650141162373,15.446908477681477,0.9095226684679298
sahp,Adapted SAHP,T0 backbone control,Direct log-MSE,extreme_tail_gt_p99,1141,3,17.351495108129406,1.678338676536209,23.787449415266106,1.5986818116015864
titantpp,TitanTPP-T0,T0 backbone control,Direct log-MSE,body_le_p95,81739,3,0.534929280300911,0.0637229909387169,1.206605931139266,0.057891580243450445
titantpp,TitanTPP-T0,T0 backbone control,Direct log-MSE,tail_gt_p95,4546,3,4.558553593164666,1.1824822777518775,6.5473321970479095,1.7062846350280776
titantpp,TitanTPP-T0,T0 backbone control,Direct log-MSE,extreme_tail_gt_p99,1141,3,7.745800627904297,3.184965387049108,9.73295922086985,3.5619397760248113
titantpp_t1,TitanTPP-T1,Tail-aware objective effect,Log-MSE + tail-aware auxiliary,body_le_p95,81739,3,0.5031527045543466,0.031397274244480945,1.1685877759806365,0.05128556297476283
titantpp_t1,TitanTPP-T1,Tail-aware objective effect,Log-MSE + tail-aware auxiliary,tail_gt_p95,4546,3,4.218217664702684,1.007285949852037,6.044746857057303,1.0763355817072338
titantpp_t1,TitanTPP-T1,Tail-aware objective effect,Log-MSE + tail-aware auxiliary,extreme_tail_gt_p99,1141,3,7.2108829017971265,2.243408357033429,9.113152729049544,1.8633624736641223
