dataset,model,model_label,comparison_role,target_quantity_objective,reason,required_contract,held_out_test,status
Taxi,rmtpp,Adapted RMTPP,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Taxi,thp,Adapted THP,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Taxi,nhp,Adapted NHP,T0 backbone control,Direct log-MSE,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Taxi,sahp,Adapted SAHP,T0 backbone control,Direct log-MSE,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Taxi,titantpp,TitanTPP-T0,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Taxi,titantpp_t1,TitanTPP-T1,Tail-aware objective effect,Log-MSE + tail-aware auxiliary,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,rmtpp,Adapted RMTPP,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,thp,Adapted THP,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,nhp,Adapted NHP,T0 backbone control,Direct log-MSE,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,sahp,Adapted SAHP,T0 backbone control,Direct log-MSE,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,titantpp,TitanTPP-T0,T0 backbone control,Direct log-MSE,legacy marked-hybrid artifact,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
Instacart,titantpp_t1,TitanTPP-T1,Tail-aware objective effect,Log-MSE + tail-aware auxiliary,official matched e300 artifact missing,mark-free; legacy_clamped_rmtpp; seeds 42/52/62; e300; batch 128; lr 0.001; minimum validation joint objective,locked,rerun_required
