backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,joint_objective,time_nll,log_qty_mse,qty_mae,qty_rmse,qty_bias
rmtpp,Count-aware RMTPP,count_only_log_regression,42,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.5892323648785145,-3.5994948222377925,0.01026245751540888,2.302439117193583,6.329525480735437,-2.1903500611661
rmtpp,Count-aware RMTPP,count_only_log_regression,42,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.5848571331456767,-3.599494752218323,0.014637618813903639,6.069405027632469,16.185391431348354,-5.956400163700013
rmtpp,Count-aware RMTPP,count_only_log_regression,42,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.5948880396366687,-3.599494835520733,0.004606797040183129,0.09995691095084897,0.4624359102941882,-0.012010092029450362
rmtpp,Count-aware RMTPP,count_only_log_regression,52,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.588420705546682,-3.5994937520911345,0.011073045738521713,2.443641705516897,7.008406104982521,-2.333049567247627
rmtpp,Count-aware RMTPP,count_only_log_regression,52,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.5803643584938443,-3.5994933666826334,0.019129008426174734,6.850679340579887,18.095099445253204,-6.769084449523381
rmtpp,Count-aware RMTPP,count_only_log_regression,52,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.5950846473843217,-3.5994947636696555,0.004410117224956036,0.15681423730336988,1.0500790542964606,-0.09431525639879482
rmtpp,Count-aware RMTPP,count_only_log_regression,62,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.5893474388582516,-3.599494295223255,0.010146856007644506,2.3284505458990568,6.843736379046426,-2.2008110788788606
rmtpp,Count-aware RMTPP,count_only_log_regression,62,1,history_65_128,History 65-128,0.3297908095265689,28456,-3.5808184821517877,-3.599494155928899,0.018675673665556492,6.769493495411322,17.548452877128735,-6.689333754242103
rmtpp,Count-aware RMTPP,count_only_log_regression,62,2,history_gt_128,History > 128,0.3794518166541114,32741,-3.595066482424172,-3.599494469981017,0.004427988935271617,0.15739315915153604,1.1199896081385636,-0.09079159430092007
thp,Count-aware THP,count_only_log_regression,42,0,history_le_64,History <= 64,0.2907573738193197,25088,-3.596524592945162,-3.599483896873663,0.0029593037155147507,0.7751778492214614,1.5496457602323845,-0.22152440803249043
