dataset_id,dataset_label,stratum_order,stratum,stratum_label,count,share
intermittent_v2,Intermittent v2,0,le_p50,quantity <= train p50,209059,0.5241886145267085
intermittent_v2,Intermittent v2,1,p50_p95,train p50 < quantity <= train p95,170054,0.4263885824323511
intermittent_v2,Intermittent v2,2,p95_p99,train p95 < quantity <= train p99,15739,0.0394635227569053
intermittent_v2,Intermittent v2,3,gt_p99,quantity > train p99,3972,0.009959280284035064
online_retail_ii,Online Retail II,0,le_p50,quantity <= train p50,295694,0.5214482341468232
online_retail_ii,Online Retail II,1,p50_p95,train p50 < quantity <= train p95,243356,0.42915161102029226
online_retail_ii,Online Retail II,2,p95_p99,train p95 < quantity <= train p99,23504,0.04144865738022054
online_retail_ii,Online Retail II,3,gt_p99,quantity > train p99,4509,0.00795149745266399
raf_spare_parts,RAF Spare Parts,0,le_p50,quantity <= train p50,15770,0.5123623249618247
raf_spare_parts,RAF Spare Parts,1,p50_p95,train p50 < quantity <= train p95,13496,0.43848078235160337
raf_spare_parts,RAF Spare Parts,2,p95_p99,train p95 < quantity <= train p99,1278,0.04152181682315865
raf_spare_parts,RAF Spare Parts,3,gt_p99,quantity > train p99,235,0.007635075863413366
