model,model_name,scale_order,quantity_range,event_count,event_share,mean_true_quantity,mean_predicted_quantity,quantity_mae_mean,quantity_mae_std,quantity_rmse_mean,quantity_wape_mean
Adapted RMTPP,rmtpp,0,1-1,127830,0.4938285912962856,1.0,1.0078469886155343,0.021868468385192977,0.0011607974517932266,0.11275970722890678,0.021868468385192977
Adapted RMTPP,rmtpp,1,2-3,8817,0.034061540244538446,2.1745491663831236,2.0626326390062855,0.33411151622987684,0.01100014952572356,0.5645998038703914,0.15364633800651037
Adapted RMTPP,rmtpp,2,4-7,9603,0.03709798922176508,5.524211172832619,5.577991656582765,0.5279203309598695,0.022294784569617566,0.8129149651716506,0.09556483531189318
Adapted RMTPP,rmtpp,3,8-15,18108,0.06995422147534335,11.43571900973816,11.621692207888154,0.7151172600335993,0.06390194625703265,1.227512133987356,0.06253365087272926
Adapted RMTPP,rmtpp,4,16-31,59487,0.22980819377643855,25.497855832136803,25.6230052336423,1.2671078960527653,0.0702249479311772,2.5001975655678748,0.04969468430579707
Adapted RMTPP,rmtpp,5,32-63,24639,0.0951845627861158,38.756361861155206,38.50065441449754,2.0177562410478553,0.13466179922409338,3.7762030486063938,0.05206258131959015
Adapted RMTPP,rmtpp,6,64-127,4497,0.017372660369705046,89.76050665857316,89.68706601520154,2.5190546817452955,0.294665004088461,3.701784138177697,0.028064176278852326
Adapted RMTPP,rmtpp,7,>=128,5874,0.022692240829808193,223.00970348323085,224.99335004100598,3.978039885362801,0.30149769133530524,5.585413070177544,0.017837967690324866
Adapted THP,thp,0,1-1,127830,0.4938285912962856,1.0,1.0009570160606307,0.029006685209900972,0.009242149103650314,0.11989424252783094,0.029006685209900972
Adapted THP,thp,1,2-3,8817,0.034061540244538446,2.1745491663831236,2.056518616306683,0.39356452317901436,0.06279147361225225,0.649309487062366,0.1809867209549559
Adapted THP,thp,2,4-7,9603,0.03709798922176508,5.524211172832619,5.573126713161752,0.5983555388676552,0.02197360616014636,0.873751016213193,0.10831510964140784
Adapted THP,thp,3,8-15,18108,0.06995422147534335,11.43571900973816,11.420195417870795,0.7700546697088232,0.017025261852366615,1.146097822595367,0.06733766972177947
Adapted THP,thp,4,16-31,59487,0.22980819377643855,25.497855832136803,25.629700951038615,1.475828143025594,0.08718606546292915,2.8793869893698933,0.057880480332997274
Adapted THP,thp,5,32-63,24639,0.0951845627861158,38.756361861155206,39.01969482997509,2.329179752414415,0.18672133427381687,3.9909031091773586,0.06009799786571065
Adapted THP,thp,6,64-127,4497,0.017372660369705046,89.76050665857316,90.57057360614543,2.4303845852408004,0.19226464120862558,3.458446938888592,0.027076324273495742
Adapted THP,thp,7,>=128,5874,0.022692240829808193,223.00970348323085,222.61187942343827,5.102253796658956,0.5645809731510677,6.6641827047848174,0.022879066322971087
TitanTPP,titantpp,0,1-1,127830,0.4938285912962856,1.0,1.005559057782982,0.01866051457087348,0.006515159741250875,0.10595057513747275,0.01866051457087348
TitanTPP,titantpp,1,2-3,8817,0.034061540244538446,2.1745491663831236,2.0229710544995796,0.3819721256698274,0.061331571220461026,0.6188189542108472,0.17565577802278562
TitanTPP,titantpp,2,4-7,9603,0.03709798922176508,5.524211172832619,5.622463426701192,0.5527773050917792,0.02424201031830972,0.8257402438633665,0.1000644775873647
TitanTPP,titantpp,3,8-15,18108,0.06995422147534335,11.43571900973816,11.652597382470475,0.7081167461699883,0.05658727302635167,1.132855035563291,0.061921488764019726
TitanTPP,titantpp,4,16-31,59487,0.22980819377643855,25.497855832136803,25.328203404895802,1.3181699086404304,0.0848650113302527,2.5413408623118454,0.05169728456065097
TitanTPP,titantpp,5,32-63,24639,0.0951845627861158,38.756361861155206,38.63393975024129,2.0256283124249217,0.07596653599497805,3.8487575558306326,0.0522656982015428
TitanTPP,titantpp,6,64-127,4497,0.017372660369705046,89.76050665857316,89.9742338991918,2.3079122883069507,0.41003923500987577,3.1591684506133277,0.025711890164409168
TitanTPP,titantpp,7,>=128,5874,0.022692240829808193,223.00970348323085,224.36972290730046,4.292158941854049,0.4220350252795467,6.138465304968187,0.0192465120342927
