scale_order,scale_label,count,share,true_qty_mean,pred_qty_mean,qty_mae,qty_median_ae,qty_rmse,qty_wape,log_abs_error,dt_mae,mark_acc,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,eval_split,model_scale_base
0,1-1,42610,0.4938285912962856,1.0,1.0071637466630308,0.023140385204904714,0.008445411920547485,0.1149384350177159,0.023140385204904714,0.027730762931566122,0.7245247594461394,0.9874207932410233,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.0822966361216193,0.3221609605011708,0.05740475654602051,0.5511652758853333,0.14815069048864668,0.24833182996128156,0.8077577407281388,0.7941476692752637,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.603830256934317,0.5067338434020939,0.3427243232727051,0.7916738776296041,0.09172962936213368,0.12550900836022189,3.7925648234926586,0.9456419868791003,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.649072910792944,0.6802685658137003,0.38996362686157227,1.1461062888174578,0.059486295984923485,0.08419835579324195,3.8278661365142477,0.9640490390987408,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.655032306992226,1.269643125342159,0.5861663818359375,2.57203274466419,0.0497941134227426,0.06882298147211253,2.977406828382672,0.9643451510414041,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,39.03363702695785,2.1731369497423905,1.0848922729492188,3.8058553446563987,0.056071747846912476,0.09055527383192846,1.8099354681602338,0.9167173992450992,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,88.74490592096392,2.858105693203835,2.0528335571289062,4.017320739481182,0.03184146123501023,0.04400488406201058,2.81187458305537,0.9579719813208806,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,224.03339667705032,4.279320982795692,3.0006637573242188,5.973129903983834,0.019188945216087758,0.027141599781788407,3.0,0.9887640449438202,intermittent,marked_target,rmtpp,rmtpp_gru_h64,rmtpp_gru_h64,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,1.0058759527373162,0.020559429593613326,0.006663620471954346,0.10993593052095409,0.020559429593613326,0.024364671676244384,0.7245247594461394,0.9869983571931471,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.045030183616079,0.43299211008526833,0.07977330684661865,0.6841374495085635,0.1991181053889225,0.3253700386589585,0.8077577407281388,0.720653283429738,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.504371066348175,0.5834460862537206,0.41939258575439453,0.8374465401516024,0.10561618084461283,0.14803854907463954,3.7925648234926586,0.9453295845048423,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.192566008817446,0.7818789306739216,0.570218563079834,1.1316949146452577,0.0683716458937219,0.10220814493810049,3.8278661365142477,0.9464877402253148,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.750387047247205,1.3834044403433228,0.7183456420898438,2.805386687031028,0.054255716615971984,0.07403811301542511,2.977406828382672,0.9568309042311766,intermittent,marked_target,thp,small,small,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
