dataset_name,model_name,candidate_name,reproducibility_mode,source_revision,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,scale_order,scale_label,total_count,mean_share,mean_true_qty,mean_pred_qty,mean_qty_mae,std_qty_mae,mean_qty_median_ae,mean_qty_rmse,mean_qty_wape,mean_log_abs_error,mean_dt_mae,mean_mark_acc
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,0,1-1,127830,0.4938285912962856,1.0,1.0078469886155343,0.021868468385192977,0.0011607974517932266,0.0077299972375233965,0.11275970722890678,0.021868468385192977,0.026079733335472925,0.7245247594461394,0.98777282328092
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,0,1-1,127830,0.4938285912962856,1.0,1.0009570160606307,0.029006685209900972,0.009242149103650314,0.014116903146107992,0.11989424252783094,0.029006685209900972,0.03564002824196854,0.7245247594461394,0.9848001251662364
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,1,2-3,8817,0.034061540244538446,2.1745491663831236,2.0626326390062855,0.33411151622987684,0.01100014952572356,0.0683449109395345,0.5645998038703914,0.15364633800651037,0.25691061812462795,0.8077577407281388,0.7916524895089032
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,1,2-3,8817,0.034061540244538446,2.1745491663831236,2.056518616306683,0.39356452317901436,0.06279147361225225,0.05859875679016113,0.649309487062366,0.1809867209549559,0.29442177227704286,0.8077577407281388,0.7535442894408529
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,2,4-7,9603,0.03709798922176508,5.524211172832619,5.577991656582765,0.5279203309598695,0.022294784569617566,0.34771060943603516,0.8129149651716506,0.09556483531189318,0.13288218146076577,3.792564823492659,0.9446006456315734
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,2,4-7,9603,0.03709798922176508,5.524211172832619,5.573126713161752,0.5983555388676552,0.02197360616014636,0.41495831807454425,0.873751016213193,0.10831510964140784,0.15294310120037666,3.792564823492659,0.927730917421639
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,3,8-15,18108,0.06995422147534335,11.43571900973816,11.621692207888154,0.7151172600335993,0.06390194625703265,0.40238555272420246,1.227512133987356,0.06253365087272926,0.08802764740162979,3.8278661365142477,0.9611773801634637
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,3,8-15,18108,0.06995422147534335,11.43571900973816,11.420195417870795,0.7700546697088232,0.017025261852366615,0.5381596883138021,1.146097822595367,0.06733766972177947,0.09795026253042353,3.8278661365142477,0.9590788601722995
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,4,16-31,59487,0.22980819377643855,25.497855832136803,25.6230052336423,1.2671078960527653,0.0702249479311772,0.6075325012207031,2.5001975655678748,0.04969468430579707,0.06926787007579842,2.9774068283826716,0.966311967320591
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,4,16-31,59487,0.22980819377643855,25.497855832136803,25.629700951038615,1.475828143025594,0.08718606546292915,0.7570069630940756,2.8793869893698933,0.057880480332997274,0.07943153280348308,2.9774068283826716,0.955267537445156
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,5,32-63,24639,0.0951845627861158,38.756361861155206,38.50065441449754,2.0177562410478553,0.13466179922409338,0.8738390604654948,3.7762030486063938,0.05206258131959015,0.08607108953242092,1.8099354681602338,0.9114412110881123
intermittent,thp,small,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,5,32-63,24639,0.0951845627861158,38.756361861155206,39.01969482997509,2.329179752414415,0.18672133427381687,1.1485226949055989,3.9909031091773586,0.06009799786571065,0.09707959560736602,1.8099354681602338,0.9046227525467755
intermittent,rmtpp,rmtpp_gru_h64,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,6,64-127,4497,0.017372660369705046,89.76050665857316,89.68706601520154,2.5190546817452955,0.294665004088461,1.7194290161132812,3.701784138177697,0.028064176278852326,0.03920130160270014,2.81187458305537,0.9579719813208806
