scale_order,scale_label,count,share,true_qty_mean,pred_qty_mean,qty_mae,qty_median_ae,qty_rmse,qty_wape,log_abs_error,dt_mae,mark_acc,dataset_name,dataset_kind,model_name,candidate_name,titan_candidate_name,seed,reproducibility_mode,source_revision,train_loader_seed,value_head_mode,time_head_mode,evaluation_scope,qty_mark_gradient_mode,value_encoder_gradient_mode,marker_loss_mode,lambda_ordinal,qty_decoder_mode,magnitude_norm_mode,lambda_magnitude,magnitude_domain,magnitude_encoder_gradient_mode,magnitude_aux_loss_mode,lambda_log_qty,log_qty_huber_delta,log_qty_floor,magnitude_sigma_floor,magnitude_revin_eps,magnitude_shrinkage_k,magnitude_center_mode,magnitude_revin_affine,magnitude_stat_context_mode,selection,eval_split,model_scale_base
0,1-1,42610,0.4938285912962856,1.0,1.007098473317185,0.01127706080975876,0.002719879150390625,0.08910363103340045,0.01127706080975876,0.012746449407234673,0.7245247594461394,0.9918094344050692,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,1.9586282573455287,0.44509018769512454,0.14230871200561523,0.6780488093189759,0.2046815931209468,0.361657441595291,0.8077577407281388,0.6777815583531813,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
2,4-7,3201,0.03709798922176508,5.524211172832619,5.689573261969464,0.5422448912325296,0.36513519287109375,0.7909420060589091,0.09815788612485024,0.13944773653900946,3.7925648234926586,0.9397063417681975,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
3,8-15,6036,0.06995422147534335,11.435719009738161,11.470324612201011,0.6474880568628836,0.423917293548584,1.0780067683960375,0.05661979420021696,0.08106834012360822,3.8278661365142477,0.9665341285619615,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
4,16-31,19829,0.22980819377643855,25.497855832136803,25.13771444937544,1.2965433125633221,0.7098102569580078,2.41436760275846,0.05084911143505621,0.07192882415873061,2.977406828382672,0.9668667103736951,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
5,32-63,8213,0.09518456278611578,38.756361861155206,38.31288197344496,1.952075414356848,0.8575859069824219,3.9245211481902524,0.05036787047634049,0.08424888155890864,1.8099354681602338,0.9072202605625228,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
6,64-127,1499,0.017372660369705046,89.76050665857316,88.43746143058588,2.72239042489508,2.0342864990234375,3.661099240371498,0.030329490398827423,0.04171715298042526,2.81187458305537,0.9579719813208806,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
7,>=128,1958,0.022692240829808193,223.00970348323085,221.47047635897675,4.383956332494095,3.3942718505859375,5.835610948241363,0.019658141614558693,0.028222377989460184,3.0,0.9887640449438202,intermittent,marked_target,titantpp,small_lmm,small_lmm,42,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,42,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
0,1-1,42610,0.4938285912962856,1.0,1.0128455205692202,0.021102935895481123,0.0047457218170166016,0.12763663000327488,0.021102935895481123,0.02329488233915589,0.7245247594461394,0.9839708988500352,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
1,2-3,2939,0.034061540244538446,2.1745491663831236,2.106022377470879,0.3225986323578904,0.03165411949157715,0.5766585555302604,0.14835196064776088,0.2449574755462265,0.8077577407281388,0.7910854031983668,intermittent,marked_target,titantpp,small_lmm,small_lmm,52,strict,308cec0b9c383d4eab5aac8b9015dae663b0ad73,52,shared,shared,validation_only,coupled,coupled,ce,0.0,mark_residual,global,1.0,mark_residual,coupled,none,0.25,1.0,1.0,0.0014535461338152059,0.00001,8.0,mean,false,none,best_val_nll,validation,2.0
