Unified TPP Experiment Configuration:: ExperimentConfig(base_dir='/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent', experiment_mode='long-epoch', device='cuda', reproducibility_mode='strict', lookback_weeks=520, max_seq_len=96, batch_size=128, lr=0.001, val_ratio=0.2, lambda_value=1.0, lambda_dt=1.0, grad_clip=1.0, epochs=300, seeds=(42, 52, 62), datasets=('intermittent',), models=('titantpp',), titan_profile='dataset_best', titan_candidates=('small_lmm',), thp_candidates=('small',), intermittent_runtime_profile='long', intermittent_max_series=None, intermittent_split_with_path='/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_with_split.parquet', intermittent_split_train_path='/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_train.parquet', intermittent_split_validation_path='/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_validation.parquet', intermittent_split_test_path='/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_test.parquet', intermittent_split_manifest_path='/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_split_manifest.json', yellow_max_series=None, insta_max_series=None, force_rerun=False, stop_on_error=True, early_stopping_patience=40, min_epochs=40, split_mode='fixed', evaluation_scope='validation_only', rmtpp_rnn_type='gru', rmtpp_mark_emb_dim=32, rmtpp_hidden_dim=64, value_head_activation='identity', value_head_mode='shared', time_head_mode='shared', qty_mark_gradient_mode='coupled', value_encoder_gradient_mode='coupled', marker_loss_mode='ce', lambda_ordinal=0.0, qty_decoder_mode='mark_residual', magnitude_norm_mode='global', magnitude_input_emb_dim=8, lambda_magnitude=1.0, magnitude_encoder_gradient_mode='coupled', magnitude_aux_loss_mode='none', lambda_log_qty=0.25, log_qty_huber_delta=1.0, log_qty_floor=1.0, magnitude_sigma_floor=0.0014535461338152059, magnitude_revin_eps=1e-05, magnitude_shrinkage_k=8.0, magnitude_center_mode='mean', magnitude_revin_affine=False, magnitude_stat_context_mode='none', magnitude_exp_clamp_min=-2.0, magnitude_exp_clamp_max=15.0, loss_mode='hybrid', value_input_mode='residual', value_input_emb_dim=8, train_loss_scope='target_only', test_time_memory='none', analysis_scale_base=2.0, analysis_tail_order=7, eval_selections=('best_val_nll',))
[2026-08-10 22:43:58,156] [INFO] Preparing marked datasets for profile=dataset_best
[2026-08-10 22:43:58,213] [INFO] Validated fixed split quantity contract | dataset=intermittent source=/home/leekwanhyeong/workspace/paper_research/sample_data/intermittent_v2/intermittent_frozen_5000_with_split.parquet mark_range=[0,8] residual_range=[0.000000,0.994353] max_abs_error=5.68434e-13
[2026-08-10 22:43:58,252] [INFO] Prepared dataset=intermittent base=2.0 | rows=573128 | series=5000 | num_marks=10 | max_order=8 | cache=/home/leekwanhyeong/workspace/paper_research/search_artifacts/intermittent_frozen_5000_e300_20260810/intermittent/cache/intermittent/fixed_split
[2026-08-10 22:43:58,252] [INFO] Run 1/3 | dataset=intermittent model=titantpp candidate=small_lmm base=2.0 seed=42
[2026-08-10 22:43:58,697] [INFO] Using fixed chronological splits | dataset=intermittent train_samples=393824 validation_samples=86285 test_samples=88019 | batch_size=128 max_seq_len=96 lookback=520
[2026-08-10 22:43:58,697] [INFO] Held-out test evaluation disabled | evaluation_scope=validation_only
[Epoch 001] train_loss=2.02085755 | score=0.95069547 | val_nll=1.09064902 | val_acc=0.95527612 | val_dt_mae=0.37902645 | val_qty_mae=0.79038963 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 002] train_loss=0.96577464 | score=0.95119704 | val_nll=0.47957845 | val_acc=0.95635394 | val_dt_mae=0.44325222 | val_qty_mae=0.72437800 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 003] train_loss=0.48368660 | score=0.94712279 | val_nll=0.14753224 | val_acc=0.95736223 | val_dt_mae=0.94866218 | val_qty_mae=0.75281691 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 004] train_loss=0.19899116 | score=0.94352472 | val_nll=0.28576816 | val_acc=0.95605262 | val_dt_mae=1.18104631 | val_qty_mae=0.71743102 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 005] train_loss=-0.14460792 | score=0.93905361 | val_nll=-0.61219758 | val_acc=0.95540360 | val_dt_mae=1.54459545 | val_qty_mae=0.90404375 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 006] train_loss=-0.74459426 | score=0.94196296 | val_nll=-1.09348512 | val_acc=0.96007417 | val_dt_mae=1.73958033 | val_qty_mae=0.71540882 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 007] train_loss=-1.03080599 | score=0.93823506 | val_nll=-1.29656309 | val_acc=0.95667845 | val_dt_mae=1.76721330 | val_qty_mae=0.77125769 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 008] train_loss=-1.22037118 | score=0.94165790 | val_nll=-1.47272609 | val_acc=0.96012053 | val_dt_mae=1.76721330 | val_qty_mae=0.79049582 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 009] train_loss=-1.38671291 | score=0.94030997 | val_nll=-1.62402857 | val_acc=0.95868343 | val_dt_mae=1.76721330 | val_qty_mae=0.70132675 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 010] train_loss=-1.52943204 | score=0.94009418 | val_nll=-1.75389488 | val_acc=0.95854436 | val_dt_mae=1.76721330 | val_qty_mae=0.77804501 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 011] train_loss=-1.65151430 | score=0.94009650 | val_nll=-1.86279769 | val_acc=0.95854436 | val_dt_mae=1.76721330 | val_qty_mae=0.77572568 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 012] train_loss=-1.75921653 | score=0.94131239 | val_nll=-1.96400571 | val_acc=0.95976126 | val_dt_mae=1.76721330 | val_qty_mae=0.77672903 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 013] train_loss=-1.85436982 | score=0.94241950 | val_nll=-2.05846820 | val_acc=0.96082749 | val_dt_mae=1.76721330 | val_qty_mae=0.73586003 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 014] train_loss=-1.93921096 | score=0.94249445 | val_nll=-2.13546902 | val_acc=0.96082749 | val_dt_mae=1.76721330 | val_qty_mae=0.66091165 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 015] train_loss=-2.01688078 | score=0.94076378 | val_nll=-2.20343211 | val_acc=0.95919337 | val_dt_mae=1.76721330 | val_qty_mae=0.75746038 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
[Epoch 016] train_loss=-2.08573560 | score=0.94117937 | val_nll=-2.27376628 | val_acc=0.95961059 | val_dt_mae=1.76721330 | val_qty_mae=0.75908581 | train_log_qty_aux=0.00000000 | val_log_qty_aux=nan
