model,model_label,seed,stratum_order,stratum,stratum_label,share,count,nll,nll_marker,nll_time,mark_acc,qty_mae,qty_rmse,qty_bias
rmtpp,Adapted RMTPP,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.537150761330734,0.062339915002902625,-3.599490676333631,0.9756639133137934,0.07059434094266175,0.15127079639140545,0.04575716985834779
rmtpp,Adapted RMTPP,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5049067928134474,0.09457583593913968,-3.5994826287525883,0.9618310287704115,0.8420162089452399,1.25740900913891,-0.25712886915442595
rmtpp,Adapted RMTPP,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.403146353793138,0.19633547901394358,-3.5994818328070814,0.9093206064008984,1.5797101558426134,2.3324237895048787,-1.3254683163646632
rmtpp,Adapted RMTPP,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.499234965344996,0.10021378562285065,-3.5994487509678463,0.9615271659324522,3.999687651915697,6.08312146989088,0.9299530432612886
rmtpp,Adapted RMTPP,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.568079186129495,0.0314063549709695,-3.5994855411004645,0.9903593339176161,8.432350045019446,13.552218680103271,-2.2863152225638146
rmtpp,Adapted RMTPP,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.538345740054527,0.06114387025646802,-3.5994896103109917,0.975330846433964,0.05146256478977983,0.143166373600825,0.0009897441434250367
rmtpp,Adapted RMTPP,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.4992825968457244,0.10019280603209256,-3.599475402877814,0.963352378376551,0.7898299161470332,1.227215935635191,0.22394338636757163
rmtpp,Adapted RMTPP,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.4017174648690096,0.1977262705969083,-3.599443735465918,0.907636159460977,1.4068212139680103,2.077822800940161,0.044877345209908846
rmtpp,Adapted RMTPP,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4993180076436246,0.10013571090310402,-3.599453718546729,0.9600587371512481,2.668227648069855,3.771315420307889,0.08614071693364395
rmtpp,Adapted RMTPP,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.564473342008693,0.03500546799826701,-3.59947881000696,0.9912357581069238,8.546030751662125,14.63650468454865,-4.436632642821196
rmtpp,Adapted RMTPP,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.5398389900919187,0.05964335058058404,-3.599482340672499,0.9755306865618616,0.05054452367876698,0.14219756472516146,0.0022475782158806984
rmtpp,Adapted RMTPP,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.5005270439812413,0.098940023330374,-3.599467067311617,0.9644680347543866,0.8194152475543928,1.3587293720533467,-0.05025959168443203
rmtpp,Adapted RMTPP,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.4118331803659476,0.18765463191484108,-3.5994878122807887,0.9058113419427288,1.663570807262594,2.2397863810393814,0.4743514529511475
rmtpp,Adapted RMTPP,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4952126237287797,0.10424231505894006,-3.5994549387877206,0.958590308370044,3.1637560963455624,4.284714019483553,0.7781417107267001
rmtpp,Adapted RMTPP,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.5630746959137043,0.03639173095404923,-3.599466426867753,0.9886064855390009,8.237225919517899,13.310725357999626,-2.2456341943230993
thp,Adapted THP,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.5145701741080604,0.08486438095056385,-3.5994345550586235,0.9670263788968825,0.12042224414872281,0.18671126513845,-0.07814558728495737
thp,Adapted THP,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.4402542354302263,0.1591052959697827,-3.5993595314000086,0.9419858683525474,1.3410626648325092,2.1029434744654107,0.8007966322381226
thp,Adapted THP,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3030704992499342,0.2963092874267328,-3.5993797866766672,0.8717012914093206,2.5749662378944085,3.6529491673867502,-0.11588722477462572
thp,Adapted THP,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4746444067987983,0.12481227373992275,-3.599456680538721,0.9506607929515418,8.941405489301191,11.12516767962559,7.319553162382913
