baseline,baseline_label,scope,metric,titan_minus_baseline_mean,titan_minus_baseline_std,titan_better_seeds
rmtpp,Adapted RMTPP,overall,best_val_nll,0.017711736088342683,0.0071056765651947434,0
rmtpp,Adapted RMTPP,overall,best_val_nll_time,0.003069255893183372,0.00521940767338294,0
rmtpp,Adapted RMTPP,overall,best_val_qty_mae,-0.03978927291539569,0.034240112539155106,3
rmtpp,Adapted RMTPP,history_le_64,nll,0.014750870885646084,0.005929799758770636,0
rmtpp,Adapted RMTPP,history_le_64,nll_time,0.003007694828596493,0.005098025840275869,0
rmtpp,Adapted RMTPP,history_le_64,qty_mae,0.027246329467743635,0.04980441767314381,1
rmtpp,Adapted RMTPP,history_65_128,nll,0.013351720082557842,0.005492729917844806,0
rmtpp,Adapted RMTPP,history_65_128,nll_time,0.0031832778378978097,0.005331447174350024,0
rmtpp,Adapted RMTPP,history_65_128,qty_mae,-0.14861982788884665,0.05365698470341466,3
rmtpp,Adapted RMTPP,history_gt_128,nll,0.023769913959092708,0.010702401332993775,0
rmtpp,Adapted RMTPP,history_gt_128,nll_time,0.0030173282040345897,0.005215169528125922,1
rmtpp,Adapted RMTPP,history_gt_128,qty_mae,0.003431553563218883,0.007265519116800856,1
thp,Adapted THP,overall,best_val_nll,-0.032792098997416495,0.010979138183064058,3
thp,Adapted THP,overall,best_val_nll_time,-0.0015856345278142392,0.007133023757307873,1
thp,Adapted THP,overall,best_val_qty_mae,-1.2522151530745713,0.35597742746349853,3
thp,Adapted THP,history_le_64,nll,-0.019560388670068374,0.003814830371355476,3
thp,Adapted THP,history_le_64,nll_time,-0.0016722273854474778,0.007011426224837824,2
thp,Adapted THP,history_le_64,qty_mae,-0.8764150921860392,0.20035759763502275,3
thp,Adapted THP,history_65_128,nll,-0.060144303786565434,0.018757815552519857,3
thp,Adapted THP,history_65_128,nll_time,-0.0014721803969690583,0.007242393388149111,1
thp,Adapted THP,history_65_128,qty_mae,-2.9123615196047847,0.9076514514025916,3
thp,Adapted THP,history_gt_128,nll,-0.01915851447685446,0.010152513249361622,3
thp,Adapted THP,history_gt_128,nll_time,-0.0016178879450895838,0.007131512920277672,2
thp,Adapted THP,history_gt_128,qty_mae,-0.09730073144993365,0.019807319004119063,3
