model,model_label,stratum_order,stratum,stratum_label,count,share,n_seeds,nll_mean,nll_std,nll_marker_mean,nll_marker_std,nll_time_mean,nll_time_std,mark_acc_mean,mark_acc_std,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
rmtpp,Adapted RMTPP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.5384451638257266,0.001346869437928113,0.06104237861331823,0.0013511440841562862,-3.5994875424390407,4.536285091485849e-06,0.9755084821032063,0.0001676399865723166,0.05753380980373619,0.011320062062264083,0.14554491157246396,0.004982365440152852,0.016331497405884507,0.025491139364457602
rmtpp,Adapted RMTPP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.501572144546804,0.0029541617194972884,0.09790288843386874,0.002948614056034375,-3.5994750329806733,7.787312064991827e-06,0.9632171473004497,0.0013236939687245488,0.8170871242155553,0.02617092676455437,1.2811181056091492,0.06888785764708026,-0.027815024823762118,0.24132021816339352
rmtpp,Adapted RMTPP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.4055656663426985,0.005474644272744449,0.19390546050856433,0.005457858452533599,-3.5994711268512627,2.390929776853545e-05,0.9075893692682014,0.0017551000686422476,1.550034059024406,0.1309220816211164,2.216677657161474,0.12886398132908164,-0.268746506067869,0.940004117316905
rmtpp,Adapted RMTPP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.497921865572467,0.0023466396254066767,0.10153060386163158,0.0023487352189363623,-3.5994524694340986,3.2775738696990895e-06,0.9600587371512481,0.001468428781204123,3.277223798777038,0.6729432554692861,4.7130503032274405,1.213966960712182,0.5980784903072109,0.44980204871309337
rmtpp,Adapted RMTPP,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.565209074683964,0.0025820936286436737,0.034267851307761915,0.002573237690099931,-3.599476925991726,9.695391074487683e-06,0.9900671925211803,0.0013387600627975036,8.405202238733157,0.15618213287224722,13.833149574217183,0.7061262855374572,-2.9895273532360367,1.2533949999396403
thp,Adapted THP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.504627098648531,0.009312300036848655,0.09022337980449383,0.004765897235819789,-3.594850478453023,0.00467120335687099,0.963458862539598,0.0030896395837708285,0.1119667236897324,0.007520589159961726,0.18577504310160142,0.0011493819689084035,-0.06269274324837792,0.014748504379419575
thp,Adapted THP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.4443244742848362,0.01300848514531219,0.15046516146511354,0.01672426661451482,-3.5947896357499487,0.004646847620000021,0.9465386479146242,0.006343830650057409,1.6868945690216803,0.47436120477891563,2.6378643866816773,0.6498266440636763,1.2366885122929432,0.599901630683172
thp,Adapted THP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.284053057447559,0.06692471916595423,0.31075917868050323,0.06366403657024765,-3.5948122361280626,0.004650011992488405,0.8756784577952461,0.030166396062188353,3.131390032731659,0.8084820865300122,6.487640207568618,4.752733844710713,1.4266482782836891,1.3856908992956127
thp,Adapted THP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.429105893703526,0.0550086140142896,0.16572410357528597,0.05045288876859999,-3.594829997278812,0.004686098709648282,0.9407733724914341,0.012822783351412603,14.322657309638128,5.154925484339769,20.105032007581066,10.194030949141503,13.335470661157729,5.63279068517432
thp,Adapted THP,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.5289338964251584,0.018162417581742658,0.06590360238596638,0.015663633009172166,-3.594837498811125,0.004682804274974746,0.9810108092316682,0.0030779005997232517,32.55893658463313,1.322548710639702,38.493504858438754,1.2759837141733454,30.766469997235497,2.204438970135797
titantpp,TitanTPP,0,le_p50,<= 2,45036,0.5219447180854146,3,-3.5202756750974773,0.008224646787213071,0.07618995112201253,0.003661696383739398,-3.5964656262194903,0.0052246178060755735,0.9680329810225893,0.0015613276849384063,0.06182459084034799,0.008018542531763501,0.1598357267671326,0.0053040733412287565,0.022326131026458335,0.013622326180293638
titantpp,TitanTPP,1,p50_p90,"(2, 31]",29579,0.34280581792895637,3,-3.489460333796548,0.006339947731130599,0.10700301080616505,0.004865332548029881,-3.5964633446027126,0.005078031237210195,0.9578755197944487,0.00275403656031862,0.8384779125882937,0.020958877546622248,1.3409969094237135,0.031709099069890556,0.11569286195174076,0.23562726898293024
titantpp,TitanTPP,2,p90_p95,"(31, 46]",7124,0.08256359738077301,3,-3.369534912099965,0.030790429621647214,0.22636676007706164,0.02644714736846593,-3.5959016721770265,0.005751829569353616,0.9016002245929253,0.017790551812973458,1.3364232163426584,0.0925273951479723,2.1555309884458578,0.07436465549260192,-0.7304739729866829,0.32879102670918764
titantpp,TitanTPP,3,p95_p99,"(46, 187]",3405,0.03946224720403314,3,-3.4718247422119792,0.007738728588620928,0.12449941347228018,0.0027122093663404594,-3.5963241556842593,0.005291542749968219,0.955359765051395,0.0010173573025367678,3.2955396022040415,0.31745468048933867,4.657268245317734,0.5341592807340884,0.31639634765834135,1.794637347807024
titantpp,TitanTPP,4,gt_p99,> 187,1141,0.013223619400822855,3,-3.559795397586571,0.00363551789791362,0.03655068534598184,0.0032085573226352825,-3.596346082932553,0.005220126878736304,0.9862693543675138,0.0030779005997233046,5.951410104683049,0.7732485314584329,8.267957391082941,1.2827028800320537,2.8190839334499618,1.9444396752186823
