backbone,backbone_label,variant,seed,stratum_order,stratum,stratum_label,share,count,nll,nll_marker,nll_time,mark_acc,qty_mae,qty_rmse,qty_bias
titantpp,TitanTPP,log_regression,42,0,le_p50,<= 2,0.5219447180854146,45036,-3.527341462558248,0.07210803078278061,-3.5994494933410333,0.9697131183941735,0.06923006264404692,0.1642834134719572,0.03793138179053569
titantpp,TitanTPP,log_regression,42,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.48705235470555,0.11231771360432824,-3.5993700683098777,0.9553061293485243,0.8296457656220807,1.3173979498955137,-0.05084186782902687
titantpp,TitanTPP,log_regression,42,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.401771475576476,0.1972208834861066,-3.5989923590625823,0.9187254351487928,1.4350797930572357,2.2383701816291124,-1.019740704938577
titantpp,TitanTPP,log_regression,42,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4775573152334647,0.12176827457810946,-3.599325589811574,0.9559471365638766,3.569017811353686,5.147969691706906,0.4467622950213596
titantpp,TitanTPP,log_regression,42,4,gt_p99,> 187,0.013223619400822855,1141,-3.56361613147919,0.035575882499559536,-3.599192013978749,0.9833479404031551,6.500477074532003,9.290710755919504,4.709121155801517
titantpp,TitanTPP,log_regression,52,0,le_p50,<= 2,0.5219447180854146,45036,-3.5112472558741272,0.07918561813920723,-3.5904328740133318,0.9666266986410871,0.06293498955714003,0.16125835516710346,0.01623373428556993
titantpp,TitanTPP,log_regression,52,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.4846771566702013,0.10592265383583589,-3.5905998105060384,0.9575374421041956,0.8624073003206434,1.37704064202666,0.38529285340277064
titantpp,TitanTPP,log_regression,52,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.340429962671179,0.24883526752478963,-3.589265230195968,0.9028635597978664,1.2515776257780011,2.0945319883624505,-0.3728920038599167
titantpp,TitanTPP,log_regression,52,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.4630220321075784,0.127192288423922,-3.5902143205315005,0.9541850220264317,3.3701881179025346,4.735545711683391,2.0422959376711853
titantpp,TitanTPP,log_regression,52,4,gt_p99,> 187,0.013223619400822855,1141,-3.556378881651152,0.033942580405027074,-3.5903214620561794,0.9894829097283085,5.067116512529271,6.8287831313455865,0.8244629574908592
titantpp,TitanTPP,log_regression,62,0,le_p50,<= 2,0.5219447180854146,45036,-3.522238306860057,0.07727620444404977,-3.5995145113041054,0.9677591260325074,0.05330872031985702,0.15396541166233713,0.012813277003269381
titantpp,TitanTPP,log_regression,62,1,p50_p90,"(2, 31]",0.34280581792895637,29579,-3.496651490013892,0.10276866497833102,-3.5994201549922216,0.9607829879306264,0.823380671822157,1.3285521363489667,0.012627600281478513
titantpp,TitanTPP,log_regression,62,2,p90_p95,"(31, 46]",0.08256359738077301,7124,-3.3664032980522403,0.23304412922028866,-3.599447427272529,0.8832116788321168,1.322612230192738,2.13369079534601,-0.798789210161555
titantpp,TitanTPP,log_regression,62,3,p95_p99,"(46, 187]",0.03946224720403314,3405,-3.474894879294895,0.12453767741480908,-3.599432556709704,0.9559471365638766,2.9474128773559034,4.088289332562907,-1.539869189717521
titantpp,TitanTPP,log_regression,62,4,gt_p99,> 187,0.013223619400822855,1141,-3.559391179629371,0.040133593133358916,-3.59952477276273,0.985977212971078,6.286636726987874,8.684378285983733,2.9236676870575087
