model,model_label,seed,stratum_order,stratum,stratum_label,share,count,qty_mae,qty_rmse,qty_bias
rmtpp,Adapted RMTPP,42,-1,all,All validation,1.0,8268,34.93997885702772,107.53123084711544,15.691740117357961
rmtpp,Adapted RMTPP,42,0,le_p50,<= 7,0.5278180938558297,4364,1.9470045948443775,5.89034237608544,1.0844232285929645
rmtpp,Adapted RMTPP,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,30.26617256177315,58.98525476329997,19.832340076822167
rmtpp,Adapted RMTPP,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,179.52282730655966,234.2863352795427,113.50573904403133
rmtpp,Adapted RMTPP,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,271.4414459938227,349.9438755621247,158.90079536311254
rmtpp,Adapted RMTPP,42,4,gt_p99,> 3449,0.009554910498306726,79,435.5959627175633,579.0107002355669,-365.43485462816454
rmtpp,Adapted RMTPP,52,-1,all,All validation,1.0,8268,34.321877449174174,114.60934982158494,-0.37001132208134857
rmtpp,Adapted RMTPP,52,0,le_p50,<= 7,0.5278180938558297,4364,1.4190125116014787,3.5566472681794497,0.30678455117751874
rmtpp,Adapted RMTPP,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,25.019134917329115,47.04952533564723,-5.8490551444965995
rmtpp,Adapted RMTPP,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,182.10872867564464,235.61501714131884,-7.006203527895281
rmtpp,Adapted RMTPP,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,312.63117651448295,422.06799934504426,145.20592734504777
rmtpp,Adapted RMTPP,52,4,gt_p99,> 3449,0.009554910498306726,79,438.92042251780066,579.7412274690226,-342.35842934137656
rmtpp,Adapted RMTPP,62,-1,all,All validation,1.0,8268,33.93573200193706,117.81581717070337,-8.264139621930822
rmtpp,Adapted RMTPP,62,0,le_p50,<= 7,0.5278180938558297,4364,1.6376215462341537,4.414235588456404,0.7677300222470714
rmtpp,Adapted RMTPP,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,24.46223492702912,47.30374819250919,-6.580006070848177
rmtpp,Adapted RMTPP,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,177.15729890339117,230.15049471662138,-19.77799671548636
