variant,variant_label,seed,stratum_order,stratum,stratum_label,share,count,qty_mae,qty_rmse,qty_bias
minmax_sigmoid,Min-max + sigmoid regression,42,-1,all,All validation,1.0,8268,46.1249531982426,129.63376480474767,18.04708965564616
minmax_sigmoid,Min-max + sigmoid regression,42,0,le_p50,<= 7,0.5278180938558297,4364,14.795330293073663,25.368462159275005,14.79427573863352
minmax_sigmoid,Min-max + sigmoid regression,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,32.079518165308784,73.66999817383912,3.0320528317895796
minmax_sigmoid,Min-max + sigmoid regression,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,201.583203488681,273.43286055601465,63.529222004154185
minmax_sigmoid,Min-max + sigmoid regression,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,353.84618288971654,464.70695953506083,237.78118632877388
minmax_sigmoid,Min-max + sigmoid regression,42,4,gt_p99,> 3449,0.009554910498306726,79,402.6575448724288,565.2662227171403,-265.28962804094147
minmax_sigmoid,Min-max + sigmoid regression,52,-1,all,All validation,1.0,8268,44.433282372279045,116.57020644999588,15.086313205521984
minmax_sigmoid,Min-max + sigmoid regression,52,0,le_p50,<= 7,0.5278180938558297,4364,15.44038769654677,20.749002302141147,15.439741127650526
minmax_sigmoid,Min-max + sigmoid regression,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,32.67947722165124,61.897277264708215,1.7266711357522726
minmax_sigmoid,Min-max + sigmoid regression,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,174.24846451517215,240.20199186780158,35.851112286661575
minmax_sigmoid,Min-max + sigmoid regression,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,323.40993563122925,419.1630851208108,172.78910224382267
minmax_sigmoid,Min-max + sigmoid regression,52,4,gt_p99,> 3449,0.009554910498306726,79,415.67125692246833,543.0024121196983,-176.0979220233386
minmax_sigmoid,Min-max + sigmoid regression,62,-1,all,All validation,1.0,8268,43.464739215852674,116.17272225851953,7.333839001145753
minmax_sigmoid,Min-max + sigmoid regression,62,0,le_p50,<= 7,0.5278180938558297,4364,13.344443381761433,18.39428540880671,13.344395528683195
minmax_sigmoid,Min-max + sigmoid regression,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,32.746252782942,61.331414323751545,-3.919636994125434
minmax_sigmoid,Min-max + sigmoid regression,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,188.24174483699503,242.90485184809464,-1.3948798303159406
minmax_sigmoid,Min-max + sigmoid regression,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,294.42912662544126,380.6648739149507,152.06433348798276
minmax_sigmoid,Min-max + sigmoid regression,62,4,gt_p99,> 3449,0.009554910498306726,79,469.48216537282434,635.5879407913093,-386.4795076394383
