variant,variant_label,seed,stratum_order,stratum,stratum_label,count,share,qty_mae,qty_rmse,qty_bias
uniform_categorical,Uniform-bin categorical,42,10,p90_plus,Above train p90,766,0.0926463473633285,730.5052219321149,850.7655706102418,-503.0704960835509
uniform_categorical,Uniform-bin categorical,42,11,p95_plus,Above train p95,380,0.045960328979196906,465.7157894736842,639.8460217731664,-118.67105263157895
uniform_categorical,Uniform-bin categorical,52,10,p90_plus,Above train p90,766,0.0926463473633285,721.1390339425587,837.662589533157,-453.49543080939947
uniform_categorical,Uniform-bin categorical,52,11,p95_plus,Above train p95,380,0.045960328979196906,450.6144736842105,610.7584957506355,-64.52763157894736
uniform_categorical,Uniform-bin categorical,62,10,p90_plus,Above train p90,766,0.0926463473633285,715.1618798955614,831.4107658785753,-473.8289817232376
uniform_categorical,Uniform-bin categorical,62,11,p95_plus,Above train p95,380,0.045960328979196906,443.7973684210526,602.8020906784546,-105.51578947368421
quantile_categorical,Quantile-bin categorical,42,10,p90_plus,Above train p90,766,0.0926463473633285,1404.360313315927,1782.7069407374631,-1404.360313315927
quantile_categorical,Quantile-bin categorical,42,11,p95_plus,Above train p95,380,0.045960328979196906,2243.771052631579,2451.4081189776366,-2243.771052631579
quantile_categorical,Quantile-bin categorical,52,10,p90_plus,Above train p90,766,0.0926463473633285,1404.360313315927,1782.7069407374631,-1404.360313315927
quantile_categorical,Quantile-bin categorical,52,11,p95_plus,Above train p95,380,0.045960328979196906,2243.771052631579,2451.4081189776366,-2243.771052631579
quantile_categorical,Quantile-bin categorical,62,10,p90_plus,Above train p90,766,0.0926463473633285,1404.360313315927,1782.7069407374631,-1404.360313315927
quantile_categorical,Quantile-bin categorical,62,11,p95_plus,Above train p95,380,0.045960328979196906,2243.771052631579,2451.4081189776366,-2243.771052631579
direct_raw_mse,Direct raw-scale MSE,42,10,p90_plus,Above train p90,766,0.0926463473633285,181.9977879536681,253.86967733748568,-17.588633604522784
direct_raw_mse,Direct raw-scale MSE,42,11,p95_plus,Above train p95,380,0.045960328979196906,225.4027028937089,309.07060353227877,-7.122992264597039
direct_raw_mse,Direct raw-scale MSE,52,10,p90_plus,Above train p90,766,0.0926463473633285,219.46259070812255,296.1818086806047,140.00160109716668
direct_raw_mse,Direct raw-scale MSE,52,11,p95_plus,Above train p95,380,0.045960328979196906,275.3190317254317,357.7429349576621,172.57504465203536
direct_raw_mse,Direct raw-scale MSE,62,10,p90_plus,Above train p90,766,0.0926463473633285,175.30249692752528,235.4083227244345,-87.02623683042998
direct_raw_mse,Direct raw-scale MSE,62,11,p95_plus,Above train p95,380,0.045960328979196906,226.13251278525905,290.8396000709344,-140.32402954101562
mark_residual,Magnitude + residual,42,10,p90_plus,Above train p90,766,0.0926463473633285,509.9713303488789,588.2559602584441,231.0134698255255
mark_residual,Magnitude + residual,42,11,p95_plus,Above train p95,380,0.045960328979196906,428.46658582185444,538.8460265937288,419.36344989977385
mark_residual,Magnitude + residual,52,10,p90_plus,Above train p90,766,0.0926463473633285,471.0490337401706,545.0870714038874,275.41175603244073
mark_residual,Magnitude + residual,52,11,p95_plus,Above train p95,380,0.045960328979196906,411.882228489926,498.5231152874506,407.06744192023024
mark_residual,Magnitude + residual,62,10,p90_plus,Above train p90,766,0.0926463473633285,458.14702118158954,534.7458273874587,203.71103654268828
mark_residual,Magnitude + residual,62,11,p95_plus,Above train p95,380,0.045960328979196906,333.2911890933388,407.5116346711825,311.4130242598684
