variant,variant_label,seed,stratum_order,stratum,stratum_label,share,count,qty_mae,qty_rmse,qty_bias
uniform_categorical,Uniform bins,42,-1,all,All validation,1.0,8268,109.78326076439284,290.57624421314273,-78.8440977261732
uniform_categorical,Uniform bins,42,0,le_p50,<= 7,0.5278180938558297,4364,3.731209899175069,4.033970098687344,3.6711732355637032
uniform_categorical,Uniform bins,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,105.74824729126833,213.92080222354326,-90.04206500956023
uniform_categorical,Uniform bins,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,991.1787564766839,1016.5206085802657,-881.4948186528497
uniform_categorical,Uniform bins,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,485.5232558139535,662.2489162515949,-103.59966777408638
uniform_categorical,Uniform bins,42,4,gt_p99,> 3449,0.009554910498306726,79,390.246835443038,546.1308352771397,-176.09493670886076
uniform_categorical,Uniform bins,52,-1,all,All validation,1.0,8268,109.0276366715046,287.45218113713014,-73.98808659893565
uniform_categorical,Uniform bins,52,0,le_p50,<= 7,0.5278180938558297,4364,3.731209899175069,4.033970098687344,3.6711732355637032
uniform_categorical,Uniform bins,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,106.04365838113448,215.41733622070254,-89.348948374761
uniform_categorical,Uniform bins,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,987.458549222798,1012.5328127479088,-836.4170984455959
uniform_categorical,Uniform bins,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,471.0514950166113,631.5926205807767,-54.848837209302324
uniform_categorical,Uniform bins,52,4,gt_p99,> 3449,0.009554910498306726,79,372.746835443038,523.8389995679535,-101.40506329113924
uniform_categorical,Uniform bins,62,-1,all,All validation,1.0,8268,108.8022496371553,287.0125941433646,-75.08272859216255
uniform_categorical,Uniform bins,62,0,le_p50,<= 7,0.5278180938558297,4364,3.731209899175069,4.033970098687344,3.6711732355637032
uniform_categorical,Uniform bins,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,106.90885914595283,219.7417584527418,-87.26959847036329
uniform_categorical,Uniform bins,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,982.3082901554404,1006.9860393370353,-836.4170984455959
uniform_categorical,Uniform bins,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,456.43023255813955,612.1733321030948,-67.4700996677741
uniform_categorical,Uniform bins,62,4,gt_p99,> 3449,0.009554910498306726,79,395.6645569620253,565.6756266244481,-250.4746835443038
quantile_categorical,Quantile bins,42,-1,all,All validation,1.0,8268,172.10921625544267,553.5718986730484,-99.34071117561683
quantile_categorical,Quantile bins,42,0,le_p50,<= 7,0.5278180938558297,4364,7.307745187901008,49.16110415073984,5.694087992667278
quantile_categorical,Quantile bins,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,100.49968132568515,168.15695913731835,73.1491395793499
quantile_categorical,Quantile bins,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,577.9974093264249,625.0576367206451,-577.9974093264249
quantile_categorical,Quantile bins,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,1824.7607973421927,1889.6432040303814,-1824.7607973421927
quantile_categorical,Quantile bins,42,4,gt_p99,> 3449,0.009554910498306726,79,3840.253164556962,3911.6452040709987,-3840.253164556962
quantile_categorical,Quantile bins,52,-1,all,All validation,1.0,8268,169.85595065312046,552.6576272441528,-101.68251088534107
quantile_categorical,Quantile bins,52,0,le_p50,<= 7,0.5278180938558297,4364,5.274977085242896,38.43830987909245,3.961961503208066
quantile_categorical,Quantile bins,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,97.38973868706182,164.0677810388619,69.38782664117272
quantile_categorical,Quantile bins,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,577.9974093264249,625.0576367206451,-577.9974093264249
quantile_categorical,Quantile bins,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,1824.7607973421927,1889.6432040303814,-1824.7607973421927
quantile_categorical,Quantile bins,52,4,gt_p99,> 3449,0.009554910498306726,79,3840.253164556962,3911.6452040709987,-3840.253164556962
quantile_categorical,Quantile bins,62,-1,all,All validation,1.0,8268,173.29390420899855,554.0582902708887,-97.81857764876632
quantile_categorical,Quantile bins,62,0,le_p50,<= 7,0.5278180938558297,4364,7.863886342804766,51.93904627499434,6.403299725022915
quantile_categorical,Quantile bins,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,102.84767367750159,171.18896822685417,76.17335882727852
quantile_categorical,Quantile bins,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,577.9974093264249,625.0576367206451,-577.9974093264249
quantile_categorical,Quantile bins,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,1824.7607973421927,1889.6432040303814,-1824.7607973421927
quantile_categorical,Quantile bins,62,4,gt_p99,> 3449,0.009554910498306726,79,3840.253164556962,3911.6452040709987,-3840.253164556962
direct_raw_mse,Raw MSE regression,42,-1,all,All validation,1.0,8268,35.18397414194079,88.32232025697238,3.3576199273643255
direct_raw_mse,Raw MSE regression,42,0,le_p50,<= 7,0.5278180938558297,4364,11.692541260548845,30.60050369927617,10.139692808268379
direct_raw_mse,Raw MSE regression,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,32.01546927088001,59.32033440744729,-0.961097678384483
direct_raw_mse,Raw MSE regression,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,139.26756081062277,184.0054796502971,-27.891596581651758
direct_raw_mse,Raw MSE regression,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,214.56161428052326,293.43397400584945,7.347369121158638
direct_raw_mse,Raw MSE regression,42,4,gt_p99,> 3449,0.009554910498306726,79,266.708622799644,362.5194852974542,-62.25690083564082
direct_raw_mse,Raw MSE regression,52,-1,all,All validation,1.0,8268,37.70611607976507,101.67102165051702,18.77528646272568
direct_raw_mse,Raw MSE regression,52,0,le_p50,<= 7,0.5278180938558297,4364,7.187855618246972,28.684691373791686,4.066559545934801
direct_raw_mse,Raw MSE regression,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,35.78012152550857,68.39508700384894,9.638743204246895
direct_raw_mse,Raw MSE regression,52,2,p90_p95,"(686, 1562]",0.04668601838413159,386,164.4743845252793,219.30131406338737,107.93448049910945
direct_raw_mse,Raw MSE regression,52,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,257.7751809560579,340.01353412908105,156.54935087793294
direct_raw_mse,Raw MSE regression,52,4,gt_p99,> 3449,0.009554910498306726,79,342.1633238973497,418.46664997149816,233.63496650019778
direct_raw_mse,Raw MSE regression,62,-1,all,All validation,1.0,8268,33.58357555738208,82.95339972826103,-1.2232749903899895
direct_raw_mse,Raw MSE regression,62,0,le_p50,<= 7,0.5278180938558297,4364,8.393639838116416,28.923680075037243,5.679956168673871
direct_raw_mse,Raw MSE regression,62,1,p50_p90,"(7, 686]",0.3795355587808418,3138,34.020855898155084,58.649550771152555,10.121329213343584
direct_raw_mse,Raw MSE regression,62,2,p90_p95,"(686, 1562]",0.04668601838413159,386,125.26258494322782,163.4010794867939,-34.55690721897263
direct_raw_mse,Raw MSE regression,62,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,213.9323393862905,276.3563446573107,-132.65140247028134
direct_raw_mse,Raw MSE regression,62,4,gt_p99,> 3449,0.009554910498306726,79,272.61671776107596,340.42219002482545,-169.55770989912975
mark_residual,Mark-residual,42,-1,all,All validation,1.0,8268,68.59980921866845,194.68829131135973,6.552296942920862
mark_residual,Mark-residual,42,0,le_p50,<= 7,0.5278180938558297,4364,1.4796673334950596,3.1900236758645475,0.1661154954368974
mark_residual,Mark-residual,42,1,p50_p90,"(7, 686]",0.3795355587808418,3138,54.20264988187926,124.02771128464718,-39.35846232771494
mark_residual,Mark-residual,42,2,p90_p95,"(686, 1562]",0.04668601838413159,386,590.2091617485402,633.1425281720951,45.591209648804345
mark_residual,Mark-residual,42,3,p95_p99,"(1562, 3449]",0.03640541848089018,301,426.26186434216675,537.4761882410698,420.24792723798276
mark_residual,Mark-residual,42,4,gt_p99,> 3449,0.009554910498306726,79,436.86685373813293,544.0336783605655,415.99347928204116
mark_residual,Mark-residual,52,-1,all,All validation,1.0,8268,65.18452184629659,181.32238585066483,9.761088986658047
mark_residual,Mark-residual,52,0,le_p50,<= 7,0.5278180938558297,4364,1.5090987308106216,3.3792666313339352,0.15660748833587254
mark_residual,Mark-residual,52,1,p50_p90,"(7, 686]",0.3795355587808418,3138,54.66423196907329,118.66855318993919,-41.72853934297598
