backbone,backbone_label,stratum_order,stratum,stratum_label,count,share,time_nll_delta_vs_hard,weighted_time_nll_delta_contribution,log_qty_mse_improvement_pct,qty_mae_improvement_pct,qty_rmse_improvement_pct
titantpp_no_memory,No memory,0,le_p50,<= 2,45036,0.5219447180854146,0.04900953976995126,0.025580270418723128,-13.940539081677855,-11.947480994264133,-5.004057312046375
titantpp_no_memory,No memory,1,p50_p90,"(2, 31]",29579,0.34280581792895637,0.00030755460687492686,0.00010543150856757793,15.227130443557899,-0.38648381295732886,-11.862877969056033
titantpp_no_memory,No memory,2,p90_p95,"(31, 46]",7124,0.08256359738077301,0.000898496479481814,7.418310157997847e-05,39.33728392544282,30.92766704865062,19.636846201356427
titantpp_no_memory,No memory,3,p95_p99,"(46, 187]",3405,0.03946224720403314,0.010838500063500067,0.00042771156882676856,-53.13745180012125,-108.17719786561983,-85.45478545957343
titantpp_no_memory,No memory,4,gt_p99,> 187,1141,0.013223619400822855,0.00046277505906378025,6.119561249252747e-06,-404.22643479495173,-161.5701465212093,-133.326000867642
titantpp_gated_soft_memory,Gated soft,0,le_p50,<= 2,45036,0.5219447180854146,0.0632171093522893,0.03299583631905547,-22.372563222054385,-20.50856141141263,-9.310434872702759
titantpp_gated_soft_memory,Gated soft,1,p50_p90,"(2, 31]",29579,0.34280581792895637,0.0003855492805202587,0.00013216853646066793,24.35554104946933,16.36625701482303,5.357084373252069
titantpp_gated_soft_memory,Gated soft,2,p90_p95,"(31, 46]",7124,0.08256359738077301,0.0008949527976085392,7.389052245654787e-05,37.10573089178406,36.862779013226834,22.660158748371384
titantpp_gated_soft_memory,Gated soft,3,p95_p99,"(46, 187]",3405,0.03946224720403314,0.010136659554973004,0.0004000153651814693,10.11444908504146,6.8967055652948295,3.1597751512038186
titantpp_gated_soft_memory,Gated soft,4,gt_p99,> 187,1141,0.013223619400822855,-0.00020903395937788005,-2.7641855206601514e-06,-3.41982222066182,-7.2986546421030205,-3.3910803215975545
titantpp_surprise_memory,Surprise,0,le_p50,<= 2,45036,0.5219447180854146,0.07275246729466645,0.03797276603213303,36.846125532528745,28.01233203509832,19.675338677377823
titantpp_surprise_memory,Surprise,1,p50_p90,"(2, 31]",29579,0.34280581792895637,0.00045564115085738877,0.00015619643740175814,40.79729068817313,22.174149373216835,12.489662239867776
titantpp_surprise_memory,Surprise,2,p90_p95,"(31, 46]",7124,0.08256359738077301,0.0010879634137501704,8.982617325788043e-05,45.43008989733319,39.89845125921014,26.386576830290075
titantpp_surprise_memory,Surprise,3,p95_p99,"(46, 187]",3405,0.03946224720403314,0.011903095875542391,0.0004697229119339612,16.96734784928471,1.7132019467737962,-1.046266314966266
titantpp_surprise_memory,Surprise,4,gt_p99,> 187,1141,0.013223619400822855,-0.0001371226532222991,-1.813257777442699e-06,15.353548749686329,16.108163075290246,8.442653379070881
