model,model_label,stratum_order,stratum,stratum_label,count,share,n_seeds,joint_objective_mean,joint_objective_std,time_nll_mean,time_nll_std,log_qty_mse_mean,log_qty_mse_std,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
rmtpp,Adapted RMTPP,0,history_le_64,History <= 64,25088,0.2907573738193197,3,-3.5890001697611496,0.0005051183891814478,-3.5994942898507274,5.350935576365856e-07,0.010494119753858366,0.000504685445538276,2.3581771228698454,0.07514848482239005,6.727222654921461,0.3541204758646824,-2.241403569097529,0.07953992680152817
thp,Adapted THP,0,history_le_64,History <= 64,25088,0.2907573738193197,3,-3.596552435308695,6.468199236352425e-05,-3.5994845724119773,4.311369592353995e-06,0.002932137179809625,6.050889840582765e-05,0.7627642544320639,0.01793869532063938,1.6511148656112942,0.250306996324959,-0.10881425697137886,0.17503410117953375
titantpp,TitanTPP-T0,0,history_le_64,History <= 64,25088,0.2907573738193197,3,-3.5949830017020914,0.0007016296722500738,-3.599454273830871,3.0229494287118664e-06,0.004471272290348741,0.0007045444530002977,0.8598098463298068,0.09524851895741433,1.5755298576497159,0.17603757465379047,-0.09551878946716104,0.41766544619482526
titantpp_t1,TitanTPP-T1,0,history_le_64,History <= 64,25088,0.2907573738193197,3,-3.5955450244685063,0.00044566179384586765,-3.599421942356315,6.0014654037031e-05,0.003871274000523599,0.0003833249122323577,0.8055251878092293,0.07703293131137401,1.4591530949157903,0.13166493818814018,-0.30295506275661266,0.2387052864293973
rmtpp,Adapted RMTPP,1,history_65_128,History 65-128,28456,0.3297908095265689,3,-3.582013324597103,0.002473255419458743,-3.599494091609952,6.950035842423424e-07,0.017480766968544954,0.002472649727160408,6.563192621207893,0.4295549162105928,17.276314584576763,0.9835093351351216,-6.471606122488499,0.44795973962827734
thp,Adapted THP,1,history_65_128,History 65-128,28456,0.3297908095265689,3,-3.596349817069242,0.00032521005750718465,-3.5994858741313402,5.103785648571474e-06,0.0031360572830520235,0.00032936675517239043,1.224097204988552,0.24695613791385382,3.3815250314284895,0.9653484091388429,0.31083746837238574,0.435302078666577
titantpp,TitanTPP-T0,1,history_65_128,History 65-128,28456,0.3297908095265689,3,-3.5951328756279493,0.0003352695248786792,-3.599414809053901,2.30015928602354e-05,0.004281934139261,0.00034482205915931476,1.3068711406482092,0.15514157012662022,2.8722332044712418,0.5188298460855642,0.28206668941826174,0.7811872333551934
titantpp_t1,TitanTPP-T1,1,history_65_128,History 65-128,28456,0.3297908095265689,3,-3.595465193390455,0.0003928167423295596,-3.599399765701194,7.764972548171165e-05,0.0038926521164150997,0.0003952846757126316,1.2322270733457665,0.1384276374866219,2.7252552404408354,0.33726174768096534,-0.4504523112016814,0.41856774121743934
rmtpp,Adapted RMTPP,2,history_gt_128,History > 128,32741,0.3794518166541114,3,-3.595013056481721,0.00010864805614636067,-3.599494689723802,1.9366417559636838e-07,0.004481634400136927,0.00010876173203338679,0.13805476913525164,0.032994982744437275,0.8775015242430708,0.3611529721554283,-0.06570564757638842,0.046535078841297046
thp,Adapted THP,2,history_gt_128,History > 128,32741,0.3794518166541114,3,-3.593430015644008,0.0001915568228174465,-3.599484074338217,3.860493696757341e-06,0.006054059426707209,0.00019178474527573036,0.10779843341439739,0.013584500095125055,0.3594998073555931,0.07285649282244887,0.014707433317884933,0.018663764333211128
titantpp,TitanTPP-T0,2,history_gt_128,History > 128,32741,0.3794518166541114,3,-3.571251727023862,0.0031117665232560554,-3.582683412624544,0.001763591534626386,0.011431685774001906,0.0015337026527008457,0.17374345542393646,0.027451204002843926,0.7531927582140688,0.27551644711009526,0.10306766720820015,0.024735516682897758
titantpp_t1,TitanTPP-T1,2,history_gt_128,History > 128,32741,0.3794518166541114,3,-3.572892016967781,0.003414587845634017,-3.5829645788419695,0.0024949189438826388,0.010065578732619455,0.0009381557543425566,0.15362838369081744,0.02957752547577598,0.6346266657189296,0.2129776281330616,0.07491309520115033,0.044235324090465086
