dataset,dataset_id,comparison_role,model,encoder,quantity_input,quantity_objective,value_head,quantity_to_mark_gradient,lookback,max_seq_len,scale_base,parameter_count,trainable_parameter_count
Intermittent,intermittent,primary,RMTPP-original,"GRU, h=64",none,residual_only,shared,coupled,52,16,2.0,20303,20303
Intermittent,intermittent,primary,RMTPP-matched,"GRU, h=64",residual,hybrid,shared,coupled,52,16,2.0,21855,21855
Intermittent,intermittent,primary,THP-matched,"Transformer, d=64, L=2, H=4",residual,hybrid,shared,coupled,52,16,2.0,101775,101775
Intermittent,intermittent,primary,TitanTPP V2,"Titan, d=64, L=2, H=4, static LMM",residual,hybrid,shared,coupled,52,16,2.0,78111,78111
Taxi,yellow_trip_hourly,primary,RMTPP-original,"GRU, h=128",none,residual_only,shared,coupled,168,256,10.0,63656,63656
Taxi,yellow_trip_hourly,primary,RMTPP-matched,"GRU, h=128",residual,hybrid,shared,coupled,168,256,10.0,66744,66744
Taxi,yellow_trip_hourly,primary,THP-matched,"Transformer, d=128, L=3, H=4",residual,hybrid,shared,coupled,168,256,10.0,596616,596616
Taxi,yellow_trip_hourly,primary,TitanTPP V3b,"Titan, d=128, L=2, H=4, static LMM",residual,hybrid,mark_conditioned_experts,detached,168,256,10.0,329276,329276
Taxi,yellow_trip_hourly,ablation_control,TitanTPP V2 control,"Titan, d=128, L=2, H=4, static LMM",residual,hybrid,shared,coupled,168,256,10.0,328760,328760
Instacart,insta_market_basket,primary,RMTPP-original,"GRU, h=64",none,residual_only,shared,coupled,52,64,2.0,20012,20012
Instacart,insta_market_basket,primary,RMTPP-matched,"GRU, h=64",residual,hybrid,shared,coupled,52,64,2.0,21564,21564
Instacart,insta_market_basket,primary,THP-matched,"Transformer, d=64, L=2, H=4",residual,hybrid,shared,coupled,52,64,2.0,101388,101388
Instacart,insta_market_basket,primary,TitanTPP V2,"Titan, d=64, L=2, H=4, static LMM",residual,hybrid,shared,coupled,52,64,2.0,80892,80892
